,AMPH
% Above Low,0.519
% Held by Institutions,0.6189
52-Wk Range,['19.21 - 44.46']
Annual Dividend $,
Annual Dividend %,
Ask,29.48
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,0.7
Bid,28.88
Bid Size,1000.0
Closing Price,29.18
Day Change $,0.49
Day Change %,0.0171
Day High,29.45
Day Low,28.67
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.49
Ex-dividend Date,No dividend
Historical Volatility,0.528
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,1.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",19.61
Prev Close,28.69
Short Interest,0.0492
Today's Open,28.7
Volume,86831.0
Volume 10-day Avg,182760.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,4.607142857142857
Growth 1yr High Est,3.1219512195121952
Growth 1yr Consensus Est,3.864547038327526
Growth 2yr Low Est,2.367265696087352
Growth 2yr High Est,1.6201472073892336
Growth 2yr Consensus Est,1.9937064517382928
Growth 5yr Low Est,1.183632848043676
Growth 5yr High Est,0.8100736036946168
Growth 5yr Consensus Est,0.9968532258691464
Growth 5yr Actual/Est,0.5578341820712915
Growth 3yr Historic,0.4796006944444445
Price/Earnings (TTM),19.61101
Price/Sales (TTM),2.90874
Price/Book (MRQ),2.80802
Price/Cash Flow (TTM),13.68961
5yr Low,12.33
5yr High,44.46
5yr Avg Return,0.08535
EPS Growth 5yr,0.4326702
Revenue Growth 5yr,0.1139984
Dividend Growth 5yr,
Short Int Current Month,1842830.0
Short Int Prev Month,1935577.0
Short Int Pct of Float,0.049231699999999996
Days to Cover,7.55193
Float,37.4318
Shares Outstanding,48.33119
Institutions Holding Shares,291.0
FCF Growth 5yr,-0.02740589242909223
"Price/Earnings (TTM, GAAP)",19.61
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4825
Operating Profit Margin (TTM),0.1826
Net Profit Margin (TTM),0.162
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.07730000000000001
EPS Growth (TTM),1.0573000000000001
Revenue Growth (MRQ),-0.027000000000000003
Revenue Growth (TTM),0.1745
Return On Equity (TTM),0.16510000000000002
Return On Assets (TTM),0.114
Return On Investment (TTM),0.1334
Revenue Per Employee (TTM),275327.0
Total Debt/Total Capital (MRQ),0.1303
Change in Debt/Total Capital Quarter over Quarter,-0.0013000000000000002
Quick Ratio (MRQ),2.75
Interest Coverage (MRQ),98.84
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-28 00:00:00
ford since,2022-10-28 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-10-21 00:00:00
