,LFUS
% Above Low,0.2741
% Held by Institutions,0.9765999999999999
52-Wk Range,['192.19 - 326.82']
Annual Dividend $,2.4
Annual Dividend %,0.0098
Ask,
Ask Size,
Ask close,260.17
B/A Ratio,
B/A Size,--
Beta,1.2
Bid,
Bid Size,
Bid close,228.15
Change Since Close,-7.32| |(-2.99%)
Closing Price,244.86
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-08 00:00:00
"EPS (TTM, GAAP)",13.28
Ex-dividend,2022-11-22 00:00:00
Ex-dividend Date,11/22/22
Historical Volatility,0.359
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,237.54
Market Cap,6.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.43
Prev Close,244.86
Short Interest,0.0129
Today's Open,
Volume,1.0
Volume 10-day Avg,87449.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.2938901778808971
Growth 1yr High Est,0.27828054298642524
Growth 1yr Consensus Est,0.2860853604336612
Growth 2yr Low Est,0.03546869922138102
Growth 2yr High Est,0.09046770512153124
Growth 2yr Consensus Est,0.06296820217145613
Growth 5yr Low Est,0.2509182061129326
Growth 5yr High Est,0.2749733605202446
Growth 5yr Consensus Est,0.26294578331658863
Growth 5yr Actual/Est,0.27672621575839657
Growth 3yr Historic,0.24983848057184743
Price/Earnings (TTM),18.43321
Price/Sales (TTM),2.4704
Price/Book (MRQ),2.90207
Price/Cash Flow (TTM),13.59798
5yr Low,103.63
5yr High,334.84
5yr Avg Return,0.04935
EPS Growth 5yr,0.1988034
Revenue Growth 5yr,0.1451537
Dividend Growth 5yr,0.1025186
Short Int Current Month,314264.0
Short Int Prev Month,364982.0
Short Int Pct of Float,0.0129099
Days to Cover,2.76436
Float,24.34997
Shares Outstanding,24.75558
Institutions Holding Shares,475.0
FCF Growth 5yr,1.3961743138983038
"Price/Earnings (TTM, GAAP)",18.43
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3985
Operating Profit Margin (TTM),0.20350000000000001
Net Profit Margin (TTM),0.1353
Annual Dividend Yield,0.0098
Dividend Change %,0.0521
"Dividend Growth Rate, 3 Years",0.0808
EPS Growth (MRQ),-0.1328
EPS Growth (TTM),0.1363
Revenue Growth (MRQ),0.0654
Revenue Growth (TTM),0.273
Return On Equity (TTM),0.1698
Return On Assets (TTM),0.0974
Return On Investment (TTM),0.11170000000000001
Revenue Per Employee (TTM),144336.0
Total Debt/Total Capital (MRQ),0.32060000000000005
Change in Debt/Total Capital Quarter over Quarter,0.0022
Quick Ratio (MRQ),1.99
Interest Coverage (MRQ),4.94
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-05 00:00:00
theStreet since,2020-11-03 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-08-05 00:00:00
cfra since,
marketEdge opinion since,
