,SONO
% Above Low,0.2722
% Held by Institutions,0.8654000000000001
52-Wk Range,['13.65 - 33.03']
Annual Dividend $,
Annual Dividend %,
Ask,17.37
Ask Size,300.0
B/A Ratio,2.0
B/A Size,600x300
Beta,1.9
Bid,17.36
Bid Size,600.0
Day Change $,-0.235
Day Change %,-0.0134
Day High,17.7
Day Low,17.36
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.42
Ex-dividend Date,No dividend
Historical Volatility,0.5920000000000001
Last (size),100.0
Last (time),2:55p ET 11/28/22
Market Cap,2.2B
"P/E Ratio (TTM, GAAP)",41.48
Prev Close,17.6
Price,17.37
Short Interest,0.0785
Today's Open,17.4
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.9439252336448598
Growth 1yr High Est,-0.7241379310344827
Growth 1yr Consensus Est,-0.8340315823396712
Growth 2yr Low Est,1.2780373831775704
Growth 2yr High Est,0.3410560344827587
Growth 2yr Consensus Est,0.8095467088301646
Growth 5yr Low Est,0.8520249221183803
Growth 5yr High Est,0.22737068965517246
Growth 5yr Consensus Est,0.5396978058867764
Growth 5yr Actual/Est,-1.4887797117372021
Growth 3yr Historic,-1.9610373647984267
Price/Earnings (TTM),41.48204
Price/Sales (TTM),1.2724
Price/Book (MRQ),3.97737
Price/Cash Flow (TTM),21.05723
5yr Low,6.58
5yr High,44.72
5yr Avg Return,0.11445999999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.1204052
Dividend Growth 5yr,
Short Int Current Month,9768496.0
Short Int Prev Month,9697222.0
Short Int Pct of Float,0.0784785
Days to Cover,4.25005
Float,124.5881
Shares Outstanding,126.6855
Institutions Holding Shares,392.0
FCF Growth 5yr,-1.1080462629991075
"Price/Earnings (TTM, GAAP)",41.48
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4545
Operating Profit Margin (TTM),0.051100000000000007
Net Profit Margin (TTM),0.0385
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-106.0664
EPS Growth (TTM),-0.6426999999999999
Revenue Growth (MRQ),-0.1493
Revenue Growth (TTM),0.0207
Return On Equity (TTM),0.1193
Return On Assets (TTM),0.0579
Return On Investment (TTM),0.1024
Revenue Per Employee (TTM),950290.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),0.77
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-18 00:00:00
theStreet since,2022-05-12 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
