,2018,2019,2020,2021,2022,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Report
high,23.6,15.75,25.4,44.72,31.22,,,,,
low,9.23,9.35,6.58,22.76,13.65,,,,,
change,-0.38630000000000003,0.6187,0.4917,0.2659,-0.4177,,,,,
Date,,,,,,2022-01-01 00:00:00,2022-04-02 00:00:00,2022-07-02 00:00:00,2022-10-01 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,754.0,607.0,440.0,275.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,203.0,129.0,148.0,128.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,-25.0,-18.0,-23.0,-26.0,Balance Sheet
"Total Receivables, Net",,,,,,178.0,111.0,125.0,101.0,Balance Sheet
Invent. - Finished Goods,,,,,,145.0,208.0,259.0,407.0,Balance Sheet
Invent. - Raw Materials,,,,,,60.0,56.0,77.0,48.0,Balance Sheet
Total Inventory,,,,,,205.0,264.0,336.0,454.0,Balance Sheet
Prepaid Expenses,,,,,,23.0,28.0,23.0,37.0,Balance Sheet
Total Current Assets,,,,,,1160.0,1011.0,923.0,867.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,103.0,103.0,104.0,114.0,Balance Sheet
"Goodwill, Net",,,,,,38.0,38.0,80.0,77.0,Balance Sheet
Intangibles - Gross,,,,,,34.0,34.0,107.0,106.0,Balance Sheet
Accum. Intangible Amort.,,,,,,-4.0,-5.0,-10.0,-15.0,Balance Sheet
Intangibles - Net,,,,,,30.0,29.0,97.0,91.0,Balance Sheet
Other Long Term Assets,,,,,,32.0,36.0,37.0,37.0,Balance Sheet
Total Assets,,,,,,1373.0,1226.0,1243.0,1188.0,Balance Sheet
Accounts Payable,,,,,,341.0,271.0,308.0,336.0,Balance Sheet
Accrued Expenses,,,,,,180.0,138.0,140.0,142.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,,,18.0,18.0,18.0,27.0,Balance Sheet
Income Taxes Payable,,,,,,34.0,14.0,13.0,7.0,Balance Sheet
Other Current Liabilities,,,,,,26.0,23.0,26.0,23.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,78.0,55.0,57.0,58.0,Balance Sheet
Total Current Liabilities,,,,,,599.0,464.0,505.0,536.0,Balance Sheet
Total Long Term Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Deferred Income Tax,,,,,,2.0,2.0,11.0,10.0,Balance Sheet
"Other Liabilities, Total",,,,,,91.0,88.0,84.0,83.0,Balance Sheet
Total Liabilities,,,,,,693.0,555.0,600.0,628.0,Balance Sheet
Common Stock,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,683.0,648.0,649.0,617.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,54.0,62.0,62.0,-3.0,Balance Sheet
Treasury Stock - Common,,,,,,-55.0,-37.0,-65.0,-51.0,Balance Sheet
"Other Equity, Total",,,,,,-2.0,-2.0,-3.0,-4.0,Balance Sheet
Total Equity,,,,,,680.0,672.0,643.0,561.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,1373.0,1226.0,1243.0,1188.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,128.0,128.0,128.0,127.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,2.0,2.0,3.0,3.0,Balance Sheet
Date,,,,,,2022-01-01 00:00:00,2022-04-02 00:00:00,2022-07-02 00:00:00,2022-10-01 00:00:00,Income Statement
Total Revenue,,,,,,664.0,400.0,372.0,316.0,Income Statement
"Cost of Revenue, Total",,,,,,347.0,221.0,196.0,192.0,Income Statement
Selling/Gen/Admin Expense,,,,,,113.0,91.0,96.0,107.0,Income Statement
Labor & Related Expense,,,,,,10.0,13.0,10.0,10.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,123.0,104.0,106.0,117.0,Income Statement
Research & Development,,,,,,61.0,65.0,63.0,67.0,Income Statement
Total Operating Expense,,,,,,532.0,390.0,365.0,376.0,Income Statement
Total Operating Income,,,,,,133.0,10.0,7.0,-60.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,0.0,0.0,0.0,0.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,0.0,0.0,0.0,1.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,-1.0,-2.0,-10.0,-8.0,Income Statement
"Other, Net",,,,,,-1.0,-2.0,-10.0,-8.0,Income Statement
Income Before Tax,,,,,,131.0,8.0,-3.0,-68.0,Income Statement
Income Tax - Total,,,,,,8.0,-1.0,-2.0,-3.0,Income Statement
Income After Tax,,,,,,123.0,9.0,-1.0,-64.0,Income Statement
Net Inc Before Extra Items,,,,,,123.0,9.0,-1.0,-64.0,Income Statement
Total Net Income,,,,,,123.0,9.0,-1.0,-64.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,123.0,9.0,-1.0,-64.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,123.0,9.0,-1.0,-64.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,128.0,128.0,128.0,128.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,0.97,0.07,0.0,-0.5,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,0.97,0.07,0.0,-0.5,Income Statement
Diluted Weighted Average Shares,,,,,,142.0,140.0,128.0,128.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,0.87,0.06,0.0,-0.5,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,0.87,0.06,0.0,-0.5,Income Statement
