,SONO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",41.48,7.14,Valuation,5.809523809523809
Price/Sales (TTM),1.27,7.33,Valuation,0.17326057298772168
Price/Book (MRQ),3.98,2.07,Valuation,1.922705314009662
"PEG Ratio (TTM, GAAP)",,0.43,Valuation,
Gross Profit Margin (TTM),0.4545,0.3091,Profitability,1.4703979294726628
Operating Profit Margin (TTM),0.051100000000000007,0.1507,Profitability,0.3390842733908428
Net Profit Margin (TTM),0.0385,0.11320000000000001,Profitability,0.3401060070671378
Annual Dividend Yield,,0.016399999999999998,Dividend,
Dividend Change %,,0.2639,Dividend,
"Dividend Growth Rate, 3 Years",,0.1757,Dividend,
EPS Growth (MRQ),-106.0664,-0.0688,Gowth rates,1541.6627906976744
EPS Growth (TTM),-0.6426999999999999,0.16670000000000001,Gowth rates,-3.855428914217156
Revenue Growth (MRQ),-0.1493,0.1173,Gowth rates,-1.2728047740835464
Revenue Growth (TTM),0.0207,0.149,Gowth rates,0.1389261744966443
Return On Equity (TTM),0.1193,0.38439999999999996,Effectiveness,0.31035379812695113
Return On Assets (TTM),0.0579,0.135,Effectiveness,0.4288888888888889
Return On Investment (TTM),0.1024,0.1699,Effectiveness,0.6027074749852855
Revenue Per Employee (TTM),950290.0,1633986.0,Effectiveness,0.5815778103361963
Total Debt/Total Capital (MRQ),0.0,0.29309999999999997,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,-0.0005,Financial strength,
Quick Ratio (MRQ),0.77,0.53,Financial strength,1.4528301886792452
Interest Coverage (MRQ),,51.09,Financial strength,
