,WEAV,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),2.0,9.39,Valuation,0.21299254526091585
Price/Book (MRQ),3.14,12.63,Valuation,0.24861441013460014
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.6022,0.7206,Profitability,0.835692478490147
Operating Profit Margin (TTM),-0.3933,0.2172,Profitability,-1.8107734806629834
Net Profit Margin (TTM),-0.40020000000000006,0.1553,Profitability,-2.57694784288474
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.2045,-0.0752,Gowth rates,-2.719414893617021
EPS Growth (TTM),,-0.2824,Gowth rates,
Revenue Growth (MRQ),0.037200000000000004,0.15560000000000002,Gowth rates,0.2390745501285347
Revenue Growth (TTM),,0.1906,Gowth rates,
Return On Equity (TTM),,0.2189,Effectiveness,
Return On Assets (TTM),-0.35710000000000003,0.10740000000000001,Effectiveness,-3.324953445065177
Return On Investment (TTM),-0.6304,0.1387,Effectiveness,-4.545061283345349
Revenue Per Employee (TTM),153287.0,667721.0,Effectiveness,0.22956743909507116
Total Debt/Total Capital (MRQ),0.2101,0.39659999999999995,Financial strength,0.5297528996469996
Change in Debt/Total Capital Quarter over Quarter,-0.0061,0.0004,Financial strength,-15.25
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-31.21,0.28,Financial strength,-111.46428571428571
