,WEAV
% Above Low,0.3643
% Held by Institutions,0.7939
52-Wk Range,['2.91 - 20.50']
Annual Dividend $,
Annual Dividend %,
Ask,8.5
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,
Bid,3.95
Bid Size,1000.0
Closing Price,3.97
Day Change $,-0.18
Day Change %,-0.0434
Day High,4.23
Day Low,3.94
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.85
Ex-dividend Date,No dividend
Historical Volatility,0.8440000000000001
Last (size),10.0
Last (time),7:00p ET 11/28/22
Market Cap,259.7M
"P/E Ratio (TTM, GAAP)",
Prev Close,4.15
Short Interest,0.027000000000000003
Today's Open,4.13
Volume,113911.0
Volume 10-day Avg,146556.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.7692307692307692
Growth 1yr High Est,-0.4157303370786517
Growth 1yr Consensus Est,-0.5924805531547104
Growth 2yr Low Est,-0.4309116809116809
Growth 2yr High Est,-0.4770959377700951
Growth 2yr Consensus Est,-0.454003809340888
Growth 5yr Low Est,-0.4309116809116809
Growth 5yr High Est,-0.4770959377700951
Growth 5yr Consensus Est,-0.454003809340888
Growth 5yr Actual/Est,-0.5147729628861704
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),1.99723
Price/Book (MRQ),3.1393
Price/Cash Flow (TTM),
5yr Low,2.91
5yr High,22.4
5yr Avg Return,-0.5223
Short Int Current Month,1085717.0
Short Int Prev Month,1563891.0
Short Int Pct of Float,0.026962899999999998
Days to Cover,5.42815
Float,61.74479
Shares Outstanding,65.58231
Institutions Holding Shares,63.0
FCF Growth 5yr,0.08693195932080806
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6022
Operating Profit Margin (TTM),-0.3933
Net Profit Margin (TTM),-0.40020000000000006
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2045
EPS Growth (TTM),
Revenue Growth (MRQ),0.037200000000000004
Revenue Growth (TTM),
Return On Equity (TTM),
Return On Assets (TTM),-0.35710000000000003
Return On Investment (TTM),-0.6304
Revenue Per Employee (TTM),153287.0
Total Debt/Total Capital (MRQ),0.2101
Change in Debt/Total Capital Quarter over Quarter,-0.0061
Quick Ratio (MRQ),
Interest Coverage (MRQ),-31.21
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-05-06 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
