,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,22.4,15.65,,,,,
low,13.21,2.91,,,,,
change,-0.3037,-0.7409,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,135996.0,128900.0,124328.0,118358.0,Balance Sheet
"Total Receivables, Net",,,3059.0,2897.0,2981.0,3653.0,Balance Sheet
Prepaid Expenses,,,6461.0,5423.0,4198.0,4886.0,Balance Sheet
"Other Curr. Assets, Total",,,8931.0,8967.0,9153.0,9391.0,Balance Sheet
Total Current Assets,,,154447.0,146187.0,140660.0,136288.0,Balance Sheet
Buildings,,,2496.0,2606.0,2615.0,2615.0,Balance Sheet
Machinery/Equipment,,,29567.0,3963.0,4274.0,4599.0,Balance Sheet
Other Prop./Plant/Equip.,,,12016.0,72173.0,70726.0,69285.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,44079.0,78742.0,77615.0,76499.0,Balance Sheet
Accumulated Depreciation,,,-19577.0,-7086.0,-8203.0,-9218.0,Balance Sheet
Prop./Plant/Equip. - Net,,,24502.0,71656.0,69412.0,67281.0,Balance Sheet
Other Long Term Assets,,,663.0,751.0,1143.0,1161.0,Balance Sheet
Total Assets,,,187485.0,226200.0,218827.0,212540.0,Balance Sheet
Accounts Payable,,,4061.0,4229.0,4673.0,3398.0,Balance Sheet
Accrued Expenses,,,12250.0,16860.0,19192.0,20922.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,8485.0,8327.0,7728.0,17718.0,Balance Sheet
"Other Curr. Lblts, Total",,,29511.0,30188.0,32287.0,32722.0,Balance Sheet
Total Current Liabilities,,,54307.0,59604.0,63880.0,74760.0,Balance Sheet
Long Term Debt,,,10000.0,10000.0,10000.0,0.0,Balance Sheet
Capital Lease Obligations,,,6558.0,6567.0,6179.0,5290.0,Balance Sheet
Total Long Term Debt,,,16558.0,16567.0,16179.0,5290.0,Balance Sheet
Total Debt,,,25043.0,24894.0,23907.0,23008.0,Balance Sheet
"Other Liabilities, Total",,,4318.0,47527.0,46779.0,45964.0,Balance Sheet
Total Liabilities,,,75183.0,123698.0,126838.0,126014.0,Balance Sheet
Redeemable Preferred Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,1.0,1.0,1.0,1.0,Balance Sheet
Additional Paid-In Capital,,,294230.0,298214.0,302557.0,309023.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-181898.0,-195736.0,-210551.0,-222369.0,Balance Sheet
Other Equity,,,,,,-1.0,Balance Sheet
Other Comprehensive Income,,,-31.0,23.0,-18.0,-128.0,Balance Sheet
"Other Equity, Total",,,-31.0,23.0,-18.0,-129.0,Balance Sheet
Total Equity,,,112302.0,102502.0,91989.0,86526.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,187485.0,226200.0,218827.0,212540.0,Balance Sheet
Ttl Comm. Shares Outs.,,,64325.0,64889.0,65011.0,65453.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
