,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,34.23,36.06,29.5,29.08,30.32,30.6,,,,,
low,30.8,19.56,21.81,12.48,17.7,23.48,,,,,
change,0.0103,-0.31579999999999997,0.3128,-0.3849,0.37570000000000003,0.0696,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Due from Banks,,,,,,,673.0,326.0,264.0,310.0,Balance Sheet
Fed. Fund/Resale,,,,,,,7.0,6.0,6.0,4.0,Balance Sheet
Total Invest. Securities,,,,,,,907.0,849.0,761.0,682.0,Balance Sheet
Loans Held for Sale,,,,,,,32.0,9.0,5.0,4.0,Balance Sheet
Other Earning Assets,,,,,,,148.0,148.0,149.0,150.0,Balance Sheet
"Other Erng. Assets, Total",,,,,,,1094.0,1012.0,921.0,840.0,Balance Sheet
Total Gross Loans,,,,,,,5225.0,5540.0,5796.0,6198.0,Balance Sheet
Loan Loss Allowances,,,,,,,-51.0,-53.0,-55.0,-59.0,Balance Sheet
Net Loans,,,,,,,5174.0,5487.0,5741.0,6140.0,Balance Sheet
Buildings,,,,,,,67.0,68.0,69.0,70.0,Balance Sheet
Land/Improvements,,,,,,,16.0,16.0,16.0,16.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,42.0,42.0,41.0,42.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,125.0,125.0,126.0,127.0,Balance Sheet
Accumulated Depreciation,,,,,,,-46.0,-47.0,-48.0,-49.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,79.0,78.0,78.0,78.0,Balance Sheet
"Goodwill, Net",,,,,,,162.0,162.0,162.0,162.0,Balance Sheet
Intangibles - Gross,,,,,,,73.0,73.0,75.0,75.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-49.0,-50.0,-51.0,-53.0,Balance Sheet
Intangibles - Net,,,,,,,53.0,50.0,49.0,47.0,Balance Sheet
Long Term Investments,,,,,,,36.0,36.0,36.0,40.0,Balance Sheet
Interest Receivable,,,,,,,19.0,20.0,17.0,18.0,Balance Sheet
Other Real Estate Owned,,,,,,,12.0,12.0,11.0,11.0,Balance Sheet
Other Assets,,,,,,,140.0,155.0,158.0,178.0,Balance Sheet
"Other Assets, Total",,,,,,,172.0,187.0,186.0,206.0,Balance Sheet
Total Assets,,,,,,,7444.0,7339.0,7436.0,7822.0,Balance Sheet
Accrued Expenses,,,,,,,11.0,10.0,74.0,80.0,Balance Sheet
Non-Interest Bearing Dep.,,,,,,,2246.0,1965.0,1972.0,2025.0,Balance Sheet
Interest Bearing Deposits,,,,,,,3865.0,4093.0,4212.0,4370.0,Balance Sheet
Total Deposits,,,,,,,6111.0,6058.0,6184.0,6395.0,Balance Sheet
"Other Bearing Lblts, Total",,,,,,,310.0,310.0,285.0,360.0,Balance Sheet
Total ST Borrowings,,,,,,,77.0,60.0,68.0,59.0,Balance Sheet
Total Long Term Debt,,,,,,,188.0,189.0,189.0,189.0,Balance Sheet
Total Debt,,,,,,,265.0,249.0,257.0,248.0,Balance Sheet
"Other Liabilities, Total",,,,,,,83.0,67.0,,,Balance Sheet
Total Liabilities,,,,,,,6780.0,6694.0,6800.0,7083.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,,,,,111.0,Balance Sheet
Common Stock,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,,446.0,446.0,447.0,448.0,Balance Sheet
