,MSBI
% Above Low,0.1418
% Held by Institutions,0.5969
52-Wk Range,['23.48 - 30.60']
Annual Dividend $,1.16
Annual Dividend %,0.0433
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.9
Bid,
Bid Size,
Closing Price,26.81
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-21 00:00:00
"EPS (TTM, GAAP)",3.95
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.27899999999999997
Last (size),10.0
Last (time),1:00p ET 11/25/22
Market Cap,593.8M
"P/E Ratio (TTM, GAAP)",6.79
Prev Close,26.81
Short Interest,0.0158
Today's Open,
Volume,14390.0
Volume 10-day Avg,48457.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.0997067448680351
Growth 1yr High Est,0.11781609195402298
Growth 1yr Consensus Est,0.10876141841102904
Growth 2yr Low Est,0.02985337243401759
Growth 2yr High Est,0.03448645214667728
Growth 2yr Consensus Est,0.032169912290347435
Growth 5yr Low Est,0.13080651454318906
Growth 5yr High Est,0.11804967768624189
Growth 5yr Consensus Est,0.12442809611471548
Growth 5yr Actual/Est,0.4307656465531847
Growth 3yr Historic,0.42470622796709745
Price/Earnings (TTM),6.79195
Price/Sales (TTM),1.94659
Price/Book (MRQ),0.9413
Price/Cash Flow (TTM),5.78401
5yr Low,12.48
5yr High,36.06
5yr Avg Return,0.011283333333333336
EPS Growth 5yr,0.1042351
Revenue Growth 5yr,0.144229
Dividend Growth 5yr,0.25482479999999996
Short Int Current Month,330885.0
Short Int Prev Month,375348.0
Short Int Pct of Float,0.015754300000000002
Days to Cover,5.21292
Float,21.0416
Shares Outstanding,22.14947
Institutions Holding Shares,176.0
FCF Growth 5yr,0.7914116766080511
"Price/Earnings (TTM, GAAP)",6.79
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.38200000000000006
Net Profit Margin (TTM),0.2926
Annual Dividend Yield,0.0433
Dividend Change %,0.0467
"Dividend Growth Rate, 3 Years",0.0837
EPS Growth (MRQ),0.0737
EPS Growth (TTM),0.35479999999999995
Revenue Growth (MRQ),0.1491
Revenue Growth (TTM),0.13269999999999998
Return On Equity (TTM),0.13720000000000002
Return On Assets (TTM),0.012
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0012
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-11-11 00:00:00
theStreet since,2021-10-19 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
