,GEO
% Below High,0.0241
% Held by Institutions,0.773
52-Wk Range,['5.21 - 10.78']
Annual Dividend $,
Annual Dividend %,
Ask,11.26
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,10.55
Bid Size,100.0
Closing Price,10.52
Day Change $,0.04
Day Change %,0.0038
Day High,10.69
Day Low,10.42
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.53
Ex-dividend Date,No dividend
Historical Volatility,0.507
Last (size),8.0
Last (time),5:00p ET 11/25/22
Market Cap,1.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.91
Prev Close,10.48
Short Interest,0.18280000000000002
Today's Open,10.48
Volume,1057279.0
Volume 10-day Avg,2890551.0
Volume Past Day,(Light)
Price/Earnings (TTM),19.91444
Price/Sales (TTM),0.56452
Price/Book (MRQ),1.17377
Price/Cash Flow (TTM),6.21297
5yr Low,4.96
5yr High,28.06
5yr Avg Return,-0.11168333333333332
EPS Growth 5yr,-0.1524483
Revenue Growth 5yr,0.006979
Dividend Growth 5yr,
Short Int Current Month,21527001.0
Short Int Prev Month,20240461.0
Short Int Pct of Float,0.1827966
Days to Cover,7.57318
Float,118.207
Shares Outstanding,124.1501
Institutions Holding Shares,281.0
FCF Growth 5yr,0.1762126796028207
"Price/Earnings (TTM, GAAP)",19.91
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2958
Operating Profit Margin (TTM),0.1376
Net Profit Margin (TTM),0.032400000000000005
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2896
EPS Growth (TTM),-0.49200000000000005
Revenue Growth (MRQ),0.048499999999999995
Revenue Growth (TTM),0.016
Return On Equity (TTM),0.0609
Return On Assets (TTM),0.0181
Return On Investment (TTM),0.0202
Revenue Per Employee (TTM),146429.0
Total Debt/Total Capital (MRQ),0.6437999999999999
Change in Debt/Total Capital Quarter over Quarter,-0.0016
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.4
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2021-07-16 00:00:00
researchTeam since,2021-07-16 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
