,GEO
Price/Earnings (TTM),19.91444
Price/Sales (TTM),0.56452
Price/Book (MRQ),1.17377
Price/Cash Flow (TTM),6.21297
5yr Low,4.96
5yr High,28.06
5yr Avg Return,-0.11168333333333332
EPS Growth 5yr,-0.1524483
Revenue Growth 5yr,0.006979
Dividend Growth 5yr,
Short Int Current Month,21527001.0
Short Int Prev Month,20240461.0
Short Int Pct of Float,0.1827966
Days to Cover,7.57318
Float,118.207
Shares Outstanding,124.1501
Institutions Holding Shares,281.0
% Held by Institutions,0.7729980000000001
FCF Growth 5yr,0.1762126796028207
