,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,23.47,22.29,13.82,11.52,11.22,,,,,
low,18.25,9.17,3.75,6.23,5.87,,,,,
change,0.08220000000000001,-0.32530000000000003,-0.4044,0.2925,-0.21489999999999998,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,135.0,42.0,115.0,48.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,255.0,235.0,230.0,233.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,-3.0,-3.0,-3.0,-3.0,Balance Sheet
"Total Receivables, Net",,,,,,252.0,232.0,228.0,231.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,60.0,52.0,50.0,53.0,Balance Sheet
Total Current Assets,,,,,,447.0,326.0,392.0,332.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,9005.0,9062.0,9166.0,9271.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,9005.0,9062.0,9166.0,9271.0,Balance Sheet
Accumulated Depreciation,,,,,,-1217.0,-1278.0,-1344.0,-1412.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,7788.0,7784.0,7822.0,7859.0,Balance Sheet
"Goodwill, Net",,,,,,487.0,487.0,487.0,487.0,Balance Sheet
Intangibles - Net,,,,,,652.0,636.0,619.0,603.0,Balance Sheet
Long Term Investments,,,,,,1239.0,1279.0,1326.0,784.0,Balance Sheet
Other Long Term Assets,,,,,,309.0,308.0,316.0,321.0,Balance Sheet
Total Assets,,,,,,10921.0,10819.0,10962.0,10387.0,Balance Sheet
Accounts Payable,,,,,,60.0,48.0,61.0,51.0,Balance Sheet
Accrued Expenses,,,,,,236.0,121.0,193.0,154.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,0.0,,,99.0,Balance Sheet
Other Payables,,,,,,72.0,39.0,46.0,41.0,Balance Sheet
Other Current Liabilities,,,,,,,,,196.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,72.0,39.0,46.0,237.0,Balance Sheet
Total Current Liabilities,,,,,,368.0,208.0,300.0,541.0,Balance Sheet
Total Long Term Debt,,,,,,6940.0,6886.0,6849.0,6727.0,Balance Sheet
Total Debt,,,,,,6940.0,6886.0,6849.0,6826.0,Balance Sheet
Deferred Income Tax,,,,,,0.0,,,,Balance Sheet
Minority Interest,,,,,,483.0,487.0,491.0,478.0,Balance Sheet
"Other Liabilities, Total",,,,,,921.0,1005.0,1094.0,994.0,Balance Sheet
Total Liabilities,,,,,,8711.0,8586.0,8734.0,8741.0,Balance Sheet
Redeemable Preferred Stock,,,,,,682.0,682.0,682.0,682.0,Balance Sheet
Common Stock,,,,,,3958.0,3961.0,3965.0,3970.0,Balance Sheet
