,ETRN
% Above Low,0.3816
% Held by Institutions,0.9527
52-Wk Range,['5.87 - 11.22']
Annual Dividend $,0.6
Annual Dividend %,0.07400000000000001
Ask,8.89
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,2.0
Bid,7.0
Bid Size,200.0
Closing Price,8.11
Day Change $,0.1
Day Change %,0.0125
Day High,8.26
Day Low,8.01
Dividend Pay Date,2022-11-14 00:00:00
"EPS (TTM, GAAP)",-4.55
Ex-dividend,2022-11-01 00:00:00
Ex-dividend Date,11/01/22
Historical Volatility,0.524
Last (size),195.0
Last (time),5:00p ET 11/25/22
Market Cap,3.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,8.01
Short Interest,0.0387
Today's Open,8.02
Volume,1411184.0
Volume 10-day Avg,2974469.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-1.9268292682926829
Growth 1yr High Est,-0.7189189189189189
Growth 1yr Consensus Est,-1.322874093605801
Growth 2yr Low Est,-1.7002567394094994
Growth 2yr High Est,-0.2536902286902287
Growth 2yr Consensus Est,-0.9769734840498641
Growth 5yr Low Est,-1.1335044929396663
Growth 5yr High Est,-0.16912681912681915
Growth 5yr Consensus Est,-0.6513156560332427
Growth 5yr Actual/Est,0.8275249898000816
Growth 3yr Historic,-0.3188565891472869
Price/Earnings (TTM),
Price/Sales (TTM),2.80973
Price/Book (MRQ),3.64171
Price/Cash Flow (TTM),
5yr Low,3.75
5yr High,23.47
5yr Avg Return,-0.11398
EPS Growth 5yr,
Revenue Growth 5yr,0.12456640000000001
Dividend Growth 5yr,
Short Int Current Month,16667925.0
Short Int Prev Month,16390973.0
Short Int Pct of Float,0.0386715
Days to Cover,4.43314
Float,431.0131
Shares Outstanding,432.781
Institutions Holding Shares,408.0
FCF Growth 5yr,0.5466126346277119
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8855
Operating Profit Margin (TTM),-1.5109000000000001
Net Profit Margin (TTM),-1.5198
Annual Dividend Yield,0.07400000000000001
Dividend Change %,-0.3333
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-10.450899999999999
EPS Growth (TTM),-8.274700000000001
Revenue Growth (MRQ),0.0096
Revenue Growth (TTM),-0.131
Return On Equity (TTM),-0.9516
Return On Assets (TTM),-0.16329999999999997
Return On Investment (TTM),-0.1771
Revenue Per Employee (TTM),1630783.0
Total Debt/Total Capital (MRQ),0.7626999999999999
Change in Debt/Total Capital Quarter over Quarter,0.002
Quick Ratio (MRQ),
Interest Coverage (MRQ),1.72
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-09-27 00:00:00
researchTeam since,2022-09-27 00:00:00
ford since,2020-05-15 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
