,KRNY
% Above Low,0.0599
% Held by Institutions,0.6683
52-Wk Range,['9.02 - 13.89']
Annual Dividend $,0.44
Annual Dividend %,0.046
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.7
Bid,
Bid Size,
Closing Price,9.56
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",0.93
Ex-dividend,2022-11-08 00:00:00
Ex-dividend Date,11/08/22
Historical Volatility,0.23500000000000001
Last (size),29.0
Last (time),1:00p ET 11/25/22
Market Cap,645.9M
"P/E Ratio (TTM, GAAP)",10.23
Prev Close,9.56
Short Interest,0.0487
Today's Open,
Volume,98996.0
Volume 10-day Avg,190724.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-0.24242424242424243
Growth 1yr High Est,-0.16161616161616166
Growth 1yr Consensus Est,-0.20202020202020204
Growth 2yr Low Est,-0.08121212121212118
Growth 2yr High Est,-0.032615309723743435
Growth 2yr Consensus Est,-0.05691371546793231
Growth 5yr Low Est,0.05847119847119853
Growth 5yr High Est,0.08492312685083774
Growth 5yr Consensus Est,0.07169716266101812
Growth 5yr Actual/Est,0.13848819401784088
Growth 3yr Historic,0.15844155844155838
Price/Earnings (TTM),10.23062
Price/Sales (TTM),3.05276
Price/Book (MRQ),0.74229
Price/Cash Flow (TTM),9.1035
5yr Low,6.91
5yr High,15.35
5yr Avg Return,-0.054016666666666664
EPS Growth 5yr,0.34081629999999996
Revenue Growth 5yr,0.1022119
Dividend Growth 5yr,0.3387321
Short Int Current Month,2909600.0
Short Int Prev Month,2960375.0
Short Int Pct of Float,0.0486918
Days to Cover,8.98238
Float,59.76226
Shares Outstanding,67.56777
Institutions Holding Shares,176.0
FCF Growth 5yr,0.27145053168965383
"Price/Earnings (TTM, GAAP)",10.23
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.4119
Net Profit Margin (TTM),0.3042
Annual Dividend Yield,0.046
Dividend Change %,0.2286
"Dividend Growth Rate, 3 Years",0.2698
EPS Growth (MRQ),0.4878
EPS Growth (TTM),0.0326
Revenue Growth (MRQ),0.1002
Revenue Growth (TTM),-0.0012
Return On Equity (TTM),0.0681
Return On Assets (TTM),0.0085
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-05-20 00:00:00
theStreet since,2020-11-10 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-05-20 00:00:00
cfra since,
marketEdge opinion since,
