,KRNY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",10.23,10.14,Valuation,1.0088757396449703
Price/Sales (TTM),3.05,3.47,Valuation,0.8789625360230546
Price/Book (MRQ),0.74,9.31,Valuation,0.07948442534908699
"PEG Ratio (TTM, GAAP)",,4.08,Valuation,
Gross Profit Margin (TTM),,0.1227,Profitability,
Operating Profit Margin (TTM),0.4119,0.4806,Profitability,0.8570536828963794
Net Profit Margin (TTM),0.3042,0.36590000000000006,Profitability,0.831374692538945
Annual Dividend Yield,0.046,0.028300000000000002,Dividend,1.625441696113074
Dividend Change %,0.2286,0.0643,Dividend,3.5552099533437014
"Dividend Growth Rate, 3 Years",0.2698,0.11699999999999999,Dividend,2.305982905982906
EPS Growth (MRQ),0.4878,-0.049,Gowth rates,-9.955102040816326
EPS Growth (TTM),0.0326,0.024900000000000002,Gowth rates,1.3092369477911645
Revenue Growth (MRQ),0.1002,-0.0564,Gowth rates,-1.7765957446808511
Revenue Growth (TTM),-0.0012,-0.10250000000000001,Gowth rates,0.01170731707317073
Return On Equity (TTM),0.0681,0.1595,Effectiveness,0.42695924764890275
Return On Assets (TTM),0.0085,0.0533,Effectiveness,0.15947467166979362
Return On Investment (TTM),,0.07740000000000001,Effectiveness,
Revenue Per Employee (TTM),,656704.0,Effectiveness,
Total Debt/Total Capital (MRQ),,0.2934,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,-0.0009,-0.0009,Financial strength,1.0
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,6.57,Financial strength,
