,MDGL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),,45.03,Valuation,
Price/Book (MRQ),107.64,12.61,Valuation,8.536082474226804
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),,-4.7459,Profitability,
Net Profit Margin (TTM),,-4.5467,Profitability,
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.14800000000000002,-0.0014000000000000002,Gowth rates,105.71428571428571
EPS Growth (TTM),-0.09380000000000001,0.027200000000000002,Gowth rates,-3.448529411764706
Revenue Growth (MRQ),,1.3963999999999999,Gowth rates,
Revenue Growth (TTM),,0.9747,Gowth rates,
Return On Equity (TTM),-2.2317,0.1967,Effectiveness,-11.34570411794611
Return On Assets (TTM),-1.1827,0.0016,Effectiveness,-739.1875
Return On Investment (TTM),-1.857,0.0219,Effectiveness,-84.79452054794521
Revenue Per Employee (TTM),0.0,1476201.0,Effectiveness,0.0
Total Debt/Total Capital (MRQ),0.8211,0.4675,Financial strength,1.7563636363636363
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),-102.44,2.69,Financial strength,-38.0817843866171
