,NKTR
% Above Low,0.09460000000000002
% Held by Institutions,0.9334
52-Wk Range,['2.96 - 15.95']
Annual Dividend $,
Annual Dividend %,
Ask,3.72
Ask Size,100.0
Ask close,3.28
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,3.05
Bid Size,100.0
Bid close,3.21
Change Since Close,-0.03| |(-0.93%)
Closing Price,3.24
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.44
Ex-dividend Date,No dividend
Historical Volatility,1.178
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,3.21
Market Cap,609.0M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,3.24
Short Interest,0.0907
Today's Open,
Volume,4.0
Volume 10-day Avg,1199632.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.26182965299684546
Growth 1yr High Est,-0.31785714285714284
Growth 1yr Consensus Est,-0.28984339792699415
Growth 2yr Low Est,-0.36168405726765346
Growth 2yr High Est,-0.6013369483919222
Growth 2yr Consensus Est,-0.4815105028297878
Growth 5yr Low Est,-0.1300579867801431
Growth 5yr High Est,-0.2611489988914504
Growth 5yr Consensus Est,-0.19560349283579676
Growth 5yr Actual/Est,-0.17283127317278005
Growth 3yr Historic,0.03417240390131954
Price/Earnings (TTM),
Price/Sales (TTM),6.40747
Price/Book (MRQ),1.47729
Price/Cash Flow (TTM),
5yr Low,2.96
5yr High,111.36
5yr Avg Return,-0.30641666666666667
EPS Growth 5yr,
Revenue Growth 5yr,-0.09235760000000001
Dividend Growth 5yr,
Short Int Current Month,16785104.0
Short Int Prev Month,17351824.0
Short Int Pct of Float,0.0906545
Days to Cover,14.06978
Float,185.372
Shares Outstanding,187.9545
Institutions Holding Shares,301.0
FCF Growth 5yr,0.17836261553246516
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7731
Operating Profit Margin (TTM),-4.5939
Net Profit Margin (TTM),-4.7785
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.6304
EPS Growth (TTM),0.1035
Revenue Growth (MRQ),0.0945
Revenue Growth (TTM),-0.053
Return On Equity (TTM),-0.7483
Return On Assets (TTM),-0.4413
Return On Investment (TTM),-0.49520000000000003
Revenue Per Employee (TTM),128434.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),6.91
Interest Coverage (MRQ),-7.64
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2019-03-11 00:00:00
theStreet since,2019-08-09 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
