,NKTR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,26.82,Valuation,
Price/Sales (TTM),6.41,18.12,Valuation,0.35375275938189843
Price/Book (MRQ),1.48,11.52,Valuation,0.12847222222222224
"PEG Ratio (TTM, GAAP)",,0.46,Valuation,
Gross Profit Margin (TTM),0.7731,0.6774,Profitability,1.1412754650132861
Operating Profit Margin (TTM),-4.5939,-0.8243,Profitability,5.573092320757005
Net Profit Margin (TTM),-4.7785,-0.8643000000000001,Profitability,5.528751590882795
Annual Dividend Yield,,0.0217,Dividend,
Dividend Change %,,0.0947,Dividend,
"Dividend Growth Rate, 3 Years",,0.08410000000000001,Dividend,
EPS Growth (MRQ),0.6304,0.0882,Gowth rates,7.1473922902494325
EPS Growth (TTM),0.1035,0.5872999999999999,Gowth rates,0.17623020602758388
Revenue Growth (MRQ),0.0945,0.0441,Gowth rates,2.142857142857143
Revenue Growth (TTM),-0.053,0.17600000000000002,Gowth rates,-0.3011363636363636
Return On Equity (TTM),-0.7483,0.3019,Effectiveness,-2.4786353097052003
Return On Assets (TTM),-0.4413,0.09210000000000002,Effectiveness,-4.791530944625407
Return On Investment (TTM),-0.49520000000000003,0.1384,Effectiveness,-3.5780346820809252
Revenue Per Employee (TTM),128434.0,1426391.0,Effectiveness,0.090041229929241
Total Debt/Total Capital (MRQ),0.0,0.4169,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0,Financial strength,
Quick Ratio (MRQ),6.91,1.22,Financial strength,5.663934426229509
Interest Coverage (MRQ),-7.64,26.1,Financial strength,-0.2927203065134099
