,THRM
% Above Low,0.39780000000000004
% Held by Institutions,1.0146
52-Wk Range,['49.45 - 99.00']
Annual Dividend $,
Annual Dividend %,
Ask,69.21
Ask Size,200.0
Ask close,84.57
B/A Ratio,1.5
B/A Size,300x200
Beta,1.3
Bid,69.11
Bid Size,300.0
Bid close,53.4
Change Since Close,0.02| |(0.03%)
Closing Price,69.12
Day Change $,-2.36
Day Change %,-0.033
Day High,70.79
Day Low,68.91
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.45
Ex-dividend Date,No dividend
Historical Volatility,0.488
Last (size),255.0
Last (time),3:59p ET 11/28/22
Last Trade,69.14
Market Cap,2.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",49.15
Prev Close,71.48
Short Interest,0.0282
Today's Open,70.71
Volume,59551.0
Volume 10-day Avg,124166.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.4285714285714288
Growth 2yr High Est,0.7924528301886791
Growth 2yr Consensus Est,0.610512129380054
Growth 5yr Low Est,0.4285714285714288
Growth 5yr High Est,0.7924528301886791
Growth 5yr Consensus Est,0.610512129380054
Growth 5yr Actual/Est,0.12437369655608713
Growth 3yr Historic,0.07326073974545588
Price/Earnings (TTM),49.15147
Price/Sales (TTM),2.13868
Price/Book (MRQ),3.80215
Price/Cash Flow (TTM),26.80929
5yr Low,27.24
5yr High,99.0
5yr Avg Return,0.13955000000000004
EPS Growth 5yr,0.059059799999999996
Revenue Growth 5yr,0.026568900000000003
Dividend Growth 5yr,
Short Int Current Month,927273.0
Short Int Prev Month,1320610.0
Short Int Pct of Float,0.028181699999999997
Days to Cover,3.47063
Float,32.92151
Shares Outstanding,33.19807
Institutions Holding Shares,302.0
FCF Growth 5yr,0.226753831624924
"Price/Earnings (TTM, GAAP)",49.15
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2444
Operating Profit Margin (TTM),0.06
Net Profit Margin (TTM),0.043899999999999995
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.38780000000000003
EPS Growth (TTM),-0.5471
Revenue Growth (MRQ),0.2771
Revenue Growth (TTM),0.0209
Return On Equity (TTM),0.0761
Return On Assets (TTM),0.0446
Return On Investment (TTM),0.059000000000000004
Revenue Per Employee (TTM),105935.0
Total Debt/Total Capital (MRQ),0.27399999999999997
Change in Debt/Total Capital Quarter over Quarter,0.0348
Quick Ratio (MRQ),1.47
Interest Coverage (MRQ),3.02
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-06-10 00:00:00
theStreet since,2022-05-23 00:00:00
ford since,2022-06-10 00:00:00
cfra since,
marketEdge opinion since,
