,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,10.73,28.92,11.93,,,,,
low,9.75,7.22,2.59,,,,,
change,0.0182,0.1216,-0.711,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,238940.0,212331.0,112708.0,42896.0,Balance Sheet
Short Term Investments,,,,,,79456.0,123842.0,Balance Sheet
Cash and Short Term Invs,,,,238940.0,212331.0,192164.0,166738.0,Balance Sheet
"Total Receivables, Net",,,,,2928.0,2547.0,80.0,Balance Sheet
Prepaid Expenses,,,,5361.0,1514.0,1235.0,42.0,Balance Sheet
Restricted Cash - Current,,,,1217.0,1167.0,1167.0,1167.0,Balance Sheet
Other Current Assets,,,,,2892.0,2261.0,3216.0,Balance Sheet
"Other Curr. Assets, Total",,,,1217.0,4059.0,3428.0,4383.0,Balance Sheet
Total Current Assets,,,,245518.0,220832.0,199374.0,171243.0,Balance Sheet
Buildings,,,,,1030.0,1828.0,2099.0,Balance Sheet
Machinery/Equipment,,,,,2910.0,2932.0,6198.0,Balance Sheet
Construction in Progress,,,,,7944.0,9533.0,9722.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,4348.0,4066.0,3877.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,16232.0,18359.0,21896.0,Balance Sheet
Accumulated Depreciation,,,,,-1916.0,-1918.0,-2255.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,4501.0,14316.0,16441.0,19641.0,Balance Sheet
Other Long Term Assets,,,,105.0,261.0,234.0,305.0,Balance Sheet
Total Assets,,,,250199.0,235484.0,216124.0,191864.0,Balance Sheet
Accounts Payable,,,,1572.0,1745.0,1435.0,1091.0,Balance Sheet
Accrued Expenses,,,,6487.0,6598.0,9959.0,14301.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,1900.0,1817.0,2828.0,2306.0,Balance Sheet
Customer Advances,,,,3663.0,6859.0,6803.0,3546.0,Balance Sheet
Other Current Liabilities,,,,,1327.0,989.0,881.0,Balance Sheet
"Other Curr. Lblts, Total",,,,3663.0,8186.0,7792.0,4427.0,Balance Sheet
Total Current Liabilities,,,,13622.0,18346.0,22014.0,22125.0,Balance Sheet
Total Long Term Debt,,,,1869.0,1483.0,0.0,0.0,Balance Sheet
Total Debt,,,,3769.0,3300.0,2828.0,2306.0,Balance Sheet
"Other Liabilities, Total",,,,29549.0,16206.0,7256.0,11477.0,Balance Sheet
Total Liabilities,,,,45040.0,36035.0,29270.0,33602.0,Balance Sheet
Redeemable Preferred Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,16.0,16.0,16.0,16.0,Balance Sheet
Additional Paid-In Capital,,,,745753.0,745752.0,748745.0,751750.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-540610.0,-546319.0,-561907.0,-593504.0,Balance Sheet
Total Equity,,,,205159.0,199449.0,186854.0,158262.0,Balance Sheet
