,GWH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,35.65,Valuation,
Price/Sales (TTM),595.23,12.92,Valuation,46.07043343653251
Price/Book (MRQ),3.29,9.0,Valuation,0.3655555555555556
"PEG Ratio (TTM, GAAP)",,0.29,Valuation,
Gross Profit Margin (TTM),,0.2968,Profitability,
Operating Profit Margin (TTM),-119.844,-0.5081,Profitability,235.86695532375515
Net Profit Margin (TTM),-265.7471,-0.706,Profitability,376.41232294617566
Annual Dividend Yield,,0.0123,Dividend,
Dividend Change %,,0.0305,Dividend,
"Dividend Growth Rate, 3 Years",,0.0396,Dividend,
EPS Growth (MRQ),-1.0251000000000001,0.5871000000000001,Gowth rates,-1.746039856923863
EPS Growth (TTM),,-1.2397,Gowth rates,
Revenue Growth (MRQ),-0.7201000000000001,0.28940000000000005,Gowth rates,-2.488251554941258
Revenue Growth (TTM),,0.22710000000000002,Gowth rates,
Return On Equity (TTM),,0.10210000000000001,Effectiveness,
Return On Assets (TTM),-2.2255000000000003,0.0479,Effectiveness,-46.46137787056368
Return On Investment (TTM),-2.9815,0.0575,Effectiveness,-51.85217391304348
Revenue Per Employee (TTM),5487.5,348568.0,Effectiveness,0.0157429827178628
Total Debt/Total Capital (MRQ),0.0144,0.3799,Financial strength,0.037904711766254276
Change in Debt/Total Capital Quarter over Quarter,-0.0099,0.0017000000000000001,Financial strength,-5.823529411764706
Quick Ratio (MRQ),,1.37,Financial strength,
Interest Coverage (MRQ),,9.61,Financial strength,
