,GWH
% Above Low,0.3166
% Held by Institutions,0.39299999999999996
52-Wk Range,['2.59 - 16.68']
Annual Dividend $,
Annual Dividend %,
Ask,3.62
Ask Size,400.0
B/A Ratio,1.0
B/A Size,400x400
Beta,
Bid,3.2
Bid Size,400.0
Closing Price,3.41
Day Change $,0.09
Day Change %,0.0271
Day High,3.46
Day Low,3.27
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.51
Ex-dividend Date,No dividend
Historical Volatility,0.968
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,522.6M
"P/E Ratio (TTM, GAAP)",
Prev Close,3.32
Short Interest,0.1143
Today's Open,3.37
Volume,541119.0
Volume 10-day Avg,1584516.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.2857142857142856
Growth 2yr High Est,-0.19999999999999996
Growth 2yr Consensus Est,0.042857142857142816
Growth 5yr Low Est,0.2857142857142856
Growth 5yr High Est,-0.19999999999999996
Growth 5yr Consensus Est,0.042857142857142816
Growth 5yr Actual/Est,-0.022761305780173713
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),595.2306
Price/Book (MRQ),3.29489
Price/Cash Flow (TTM),
5yr Low,2.59
5yr High,28.92
5yr Avg Return,-0.19039999999999996
Short Int Current Month,9697200.0
Short Int Prev Month,9201686.0
Short Int Pct of Float,0.114331
Days to Cover,7.35549
Float,84.81692
Shares Outstanding,153.2588
Institutions Holding Shares,130.0
FCF Growth 5yr,0.28066991711652767
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-119.844
Net Profit Margin (TTM),-265.7471
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.0251000000000001
EPS Growth (TTM),
Revenue Growth (MRQ),-0.7201000000000001
Revenue Growth (TTM),
Return On Equity (TTM),
Return On Assets (TTM),-2.2255000000000003
Return On Investment (TTM),-2.9815
Revenue Per Employee (TTM),5487.5
Total Debt/Total Capital (MRQ),0.0144
Change in Debt/Total Capital Quarter over Quarter,-0.0099
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
