,SGHT
% Above Low,1.0093
% Held by Institutions,0.6829000000000001
52-Wk Range,['5.35 - 23.03']
Annual Dividend $,
Annual Dividend %,
Ask,10.77
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,10.72
Bid Size,200.0
Day Change $,0.35
Day Change %,0.0337
Day High,10.85
Day Low,10.18
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.79
Ex-dividend Date,No dividend
Historical Volatility,0.873
Last (size),8.0
Last (time),2:07p ET 11/28/22
Market Cap,518.3M
"P/E Ratio (TTM, GAAP)",
Prev Close,10.4
Price,10.75
Short Interest,0.041100000000000005
Today's Open,10.18
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-23 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.515228426395939
Growth 1yr High Est,0.1806451612903226
Growth 1yr Consensus Est,-0.1672916325528082
Growth 2yr Low Est,-0.3282948414702208
Growth 2yr High Est,-0.13372113520183326
Growth 2yr Consensus Est,-0.23100798833602704
Growth 5yr Low Est,-0.3282948414702208
Growth 5yr High Est,-0.13372113520183326
Growth 5yr Consensus Est,-0.23100798833602704
Growth 5yr Actual/Est,-0.24034080554036807
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),7.64867
Price/Book (MRQ),2.89158
Price/Cash Flow (TTM),
5yr Low,5.35
5yr High,42.57
5yr Avg Return,-0.40295000000000003
Short Int Current Month,1482889.0
Short Int Prev Month,1710289.0
Short Int Pct of Float,0.041137
Days to Cover,6.3251
Float,40.43422
Shares Outstanding,48.1513
Institutions Holding Shares,96.0
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8375
Operating Profit Margin (TTM),-1.2466
Net Profit Margin (TTM),-1.3024000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0718
EPS Growth (TTM),-0.3995
Revenue Growth (MRQ),0.084
Revenue Growth (TTM),0.5134000000000001
Return On Equity (TTM),-0.4071
Return On Assets (TTM),-0.33030000000000004
Return On Investment (TTM),-0.34909999999999997
Revenue Per Employee (TTM),308830.0
Total Debt/Total Capital (MRQ),0.16090000000000002
Change in Debt/Total Capital Quarter over Quarter,0.0032
Quick Ratio (MRQ),12.47
Interest Coverage (MRQ),-19.31
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-25 00:00:00
theStreet since,2022-11-25 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
