,SGHT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,61.36,Valuation,
Price/Sales (TTM),7.65,9.8,Valuation,0.7806122448979592
Price/Book (MRQ),2.89,10.31,Valuation,0.28031037827352084
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.8375,0.6196,Profitability,1.3516785022595221
Operating Profit Margin (TTM),-1.2466,0.047,Profitability,-26.523404255319146
Net Profit Margin (TTM),-1.3024000000000002,0.009300000000000001,Profitability,-140.0430107526882
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),0.0718,-0.4858,Gowth rates,-0.14779744750926307
EPS Growth (TTM),-0.3995,-0.2029,Gowth rates,1.9689502217841302
Revenue Growth (MRQ),0.084,0.1161,Gowth rates,0.7235142118863049
Revenue Growth (TTM),0.5134000000000001,0.18300000000000002,Gowth rates,2.805464480874317
Return On Equity (TTM),-0.4071,0.1068,Effectiveness,-3.811797752808989
Return On Assets (TTM),-0.33030000000000004,0.0622,Effectiveness,-5.310289389067525
Return On Investment (TTM),-0.34909999999999997,0.0732,Effectiveness,-4.769125683060109
Revenue Per Employee (TTM),308830.0,403586.0,Effectiveness,0.7652148488797926
Total Debt/Total Capital (MRQ),0.16090000000000002,0.3161,Financial strength,0.5090161341347675
Change in Debt/Total Capital Quarter over Quarter,0.0032,0.0125,Financial strength,0.256
Quick Ratio (MRQ),12.47,2.25,Financial strength,5.542222222222223
Interest Coverage (MRQ),-19.31,14.99,Financial strength,-1.28819212808539
