,COOK
% Above Low,0.336
% Held by Institutions,0.8522
52-Wk Range,['2.52 - 14.43']
Annual Dividend $,
Annual Dividend %,
Ask,3.65
Ask Size,300.0
B/A Ratio,1.6666666666666667
B/A Size,500x300
Beta,
Bid,2.7
Bid Size,500.0
Closing Price,3.36
Day Change $,-0.04
Day Change %,-0.0118
Day High,3.48
Day Low,3.29
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.23
Ex-dividend Date,No dividend
Historical Volatility,0.812
Last (size),12.0
Last (time),5:00p ET 11/25/22
Market Cap,412.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,3.4
Short Interest,0.1161
Today's Open,3.43
Volume,237198.0
Volume 10-day Avg,760024.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-22 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.6956521739130435
Growth 2yr High Est,-5.0
Growth 2yr Consensus Est,-2.1521739130434785
Growth 5yr Low Est,0.6956521739130435
Growth 5yr High Est,-5.0
Growth 5yr Consensus Est,-2.1521739130434785
Growth 5yr Actual/Est,-1.0083333333333333
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),0.59476
Price/Book (MRQ),1.13355
Price/Cash Flow (TTM),
5yr Low,2.52
5yr High,32.59
5yr Avg Return,-0.5851500000000001
Short Int Current Month,6789952.0
Short Int Prev Month,7752575.0
Short Int Pct of Float,0.1160834
Days to Cover,9.32682
Float,110.147
Shares Outstanding,122.6165
Institutions Holding Shares,122.0
FCF Growth 5yr,-0.2217572218735934
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.35869999999999996
Operating Profit Margin (TTM),-0.5053
Net Profit Margin (TTM),-0.5558
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.5696
EPS Growth (TTM),-5.2389
Revenue Growth (MRQ),-0.5317000000000001
Revenue Growth (TTM),-0.0694
Return On Equity (TTM),-0.7798
Return On Assets (TTM),-0.37090000000000006
Return On Investment (TTM),-0.4189
Revenue Per Employee (TTM),814941.0
Total Debt/Total Capital (MRQ),0.551
Change in Debt/Total Capital Quarter over Quarter,0.0042
Quick Ratio (MRQ),0.66
Interest Coverage (MRQ),-8.66
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-10 00:00:00
ford since,2022-04-01 00:00:00
cfra since,
theStreet since,2022-11-10 00:00:00
newConstructs since,
marketEdge opinion since,
