,SNCY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",135.48,-34.24,Valuation,-3.9567757009345788
Price/Sales (TTM),1.47,0.63,Valuation,2.3333333333333335
Price/Book (MRQ),2.43,2.71,Valuation,0.896678966789668
"PEG Ratio (TTM, GAAP)",1.74,-0.02,Valuation,-87.0
Gross Profit Margin (TTM),0.588,0.5245000000000001,Profitability,1.1210676835081028
Operating Profit Margin (TTM),0.0613,0.029500000000000002,Profitability,2.077966101694915
Net Profit Margin (TTM),0.0117,0.003,Profitability,3.9
Annual Dividend Yield,,,Dividend,
Dividend Change %,,-0.2447,Dividend,
"Dividend Growth Rate, 3 Years",,,Dividend,
EPS Growth (MRQ),3.6,0.541,Gowth rates,6.654343807763401
EPS Growth (TTM),-0.8694,16.999000000000002,Gowth rates,-0.05114418495205599
Revenue Growth (MRQ),0.012,0.46299999999999997,Gowth rates,0.025917926565874733
Revenue Growth (TTM),0.5044,0.8456999999999999,Gowth rates,0.5964289937330023
Return On Equity (TTM),0.0198,-0.010900000000000002,Effectiveness,-1.8165137614678897
Return On Assets (TTM),0.0068000000000000005,-0.002,Effectiveness,-3.4000000000000004
Return On Investment (TTM),0.0085,-0.0021,Effectiveness,-4.047619047619048
Revenue Per Employee (TTM),385072.0,453436.0,Effectiveness,0.8492312035215555
Total Debt/Total Capital (MRQ),0.5518,0.6829000000000001,Financial strength,0.8080246009664664
Change in Debt/Total Capital Quarter over Quarter,0.002,-0.0014000000000000002,Financial strength,-1.4285714285714284
Quick Ratio (MRQ),1.03,0.87,Financial strength,1.1839080459770115
Interest Coverage (MRQ),2.58,23.47,Financial strength,0.10992756710694504
