,FTV
% Below High,0.1175
% Held by Institutions,0.9537
52-Wk Range,['52.47 - 77.14']
Annual Dividend $,0.28
Annual Dividend %,0.0040999999999999995
Ask,68.4
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.1
Bid,
Bid Size,
Closing Price,68.07
Day Change $,0.18
Day Change %,0.0027
Day High,68.38
Day Low,67.86
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",1.93
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.297
Last (size),60.0
Last (time),5:00p ET 11/25/22
Market Cap,24.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",35.33
Prev Close,67.89
Short Interest,0.0129
Today's Open,68.12
Volume,518812.0
Volume 10-day Avg,1678005.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,0.1455223880597014
Growth 1yr High Est,0.1454545454545455
Growth 1yr Consensus Est,0.14548846675712346
Growth 2yr Low Est,0.08904783898099078
Growth 2yr High Est,0.12510822510822517
Growth 2yr Consensus Est,0.10707803204460797
Growth 5yr Low Est,-0.00725122843849868
Growth 5yr High Est,0.011253534519430508
Growth 5yr Consensus Est,0.002001153040465914
Growth 5yr Actual/Est,0.031156897397822986
Growth 3yr Historic,-0.020908953418027815
Price/Earnings (TTM),35.33369
Price/Sales (TTM),4.246
Price/Book (MRQ),2.56455
Price/Cash Flow (TTM),20.93509
5yr Low,37.31
5yr High,89.48
5yr Avg Return,-0.007016666666666663
EPS Growth 5yr,-0.050425399999999995
Revenue Growth 5yr,-0.0046354000000000005
Dividend Growth 5yr,0.1486984
Short Int Current Month,4492953.0
Short Int Prev Month,4762946.0
Short Int Pct of Float,0.012894099999999999
Days to Cover,1.94573
Float,348.5363
Shares Outstanding,353.8083
Institutions Holding Shares,999.0
FCF Growth 5yr,0.4245783943077314
"Price/Earnings (TTM, GAAP)",35.33
"PEG Ratio (TTM, GAAP)",4.21
Gross Profit Margin (TTM),0.5759000000000001
Operating Profit Margin (TTM),0.1593
Net Profit Margin (TTM),0.12300000000000001
Annual Dividend Yield,0.0040999999999999995
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),0.1035
EPS Growth (TTM),-0.5837
Revenue Growth (MRQ),-0.005
Revenue Growth (TTM),0.2336
Return On Equity (TTM),0.0746
Return On Assets (TTM),0.0452
Return On Investment (TTM),0.054900000000000004
Revenue Per Employee (TTM),315117.0
Total Debt/Total Capital (MRQ),0.2747
Change in Debt/Total Capital Quarter over Quarter,0.002
Quick Ratio (MRQ),0.73
Interest Coverage (MRQ),9.58
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-08-24 00:00:00
researchTeam since,2021-08-06 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-04-28 00:00:00
ford since,2022-03-25 00:00:00
marketEdge opinion since,
