,FTV,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",35.33,24.01,Valuation,1.4714702207413577
Price/Sales (TTM),4.25,3.06,Valuation,1.3888888888888888
Price/Book (MRQ),2.56,7.44,Valuation,0.3440860215053763
"PEG Ratio (TTM, GAAP)",4.21,1.49,Valuation,2.825503355704698
Gross Profit Margin (TTM),0.5759000000000001,0.32799999999999996,Profitability,1.7557926829268298
Operating Profit Margin (TTM),0.1593,0.0198,Profitability,8.045454545454545
Net Profit Margin (TTM),0.12300000000000001,-0.0086,Profitability,-14.30232558139535
Annual Dividend Yield,0.0040999999999999995,0.0143,Dividend,0.28671328671328666
Dividend Change %,0.0,0.1666,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0,0.0885,Dividend,0.0
EPS Growth (MRQ),0.1035,0.3518,Gowth rates,0.294201250710631
EPS Growth (TTM),-0.5837,0.16149999999999998,Gowth rates,-3.614241486068112
Revenue Growth (MRQ),-0.005,0.196,Gowth rates,-0.025510204081632654
Revenue Growth (TTM),0.2336,0.1475,Gowth rates,1.5837288135593222
Return On Equity (TTM),0.0746,0.2859,Effectiveness,0.26093039524309203
Return On Assets (TTM),0.0452,0.0851,Effectiveness,0.5311398354876615
Return On Investment (TTM),0.054900000000000004,0.12490000000000001,Effectiveness,0.4395516413130504
Revenue Per Employee (TTM),315117.0,343373.0,Effectiveness,0.9177104781098107
Total Debt/Total Capital (MRQ),0.2747,0.6352000000000001,Financial strength,0.4324622166246851
Change in Debt/Total Capital Quarter over Quarter,0.002,0.0189,Financial strength,0.10582010582010583
Quick Ratio (MRQ),0.73,1.07,Financial strength,0.6822429906542056
Interest Coverage (MRQ),9.58,20.9,Financial strength,0.4583732057416268
