,FTV
Price/Earnings (TTM),35.33369
Price/Sales (TTM),4.246
Price/Book (MRQ),2.56455
Price/Cash Flow (TTM),20.93509
5yr Low,37.31
5yr High,89.48
5yr Avg Return,-0.007016666666666663
EPS Growth 5yr,-0.050425399999999995
Revenue Growth 5yr,-0.0046354000000000005
Dividend Growth 5yr,0.1486984
Short Int Current Month,4492953.0
Short Int Prev Month,4762946.0
Short Int Pct of Float,0.012894099999999999
Days to Cover,1.94573
Float,348.5363
Shares Outstanding,353.8083
Institutions Holding Shares,999.0
% Held by Institutions,0.953705
FCF Growth 5yr,0.4245783943077314
