,SILK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,61.36,Valuation,
Price/Sales (TTM),15.68,9.8,Valuation,1.5999999999999999
Price/Book (MRQ),32.26,10.31,Valuation,3.1290009699321044
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.7309,0.6196,Profitability,1.1796320206584892
Operating Profit Margin (TTM),-0.4232,0.047,Profitability,-9.004255319148937
Net Profit Margin (TTM),-0.4501,0.009300000000000001,Profitability,-48.397849462365585
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),0.3329,-0.4858,Gowth rates,-0.685261424454508
EPS Growth (TTM),-0.079,-0.2029,Gowth rates,0.3893543617545589
Revenue Growth (MRQ),0.1266,0.1161,Gowth rates,1.090439276485788
Revenue Growth (TTM),0.3444,0.18300000000000002,Gowth rates,1.8819672131147538
Return On Equity (TTM),-0.7854000000000001,0.1068,Effectiveness,-7.353932584269663
Return On Assets (TTM),-0.348,0.0622,Effectiveness,-5.594855305466238
Return On Investment (TTM),-0.4031,0.0732,Effectiveness,-5.506830601092896
Revenue Per Employee (TTM),360321.0,403586.0,Effectiveness,0.8927985609015179
Total Debt/Total Capital (MRQ),0.5652,0.3161,Financial strength,1.7880417589370454
Change in Debt/Total Capital Quarter over Quarter,0.005600000000000001,0.0125,Financial strength,0.44800000000000006
Quick Ratio (MRQ),5.29,2.25,Financial strength,2.351111111111111
Interest Coverage (MRQ),-8.41,14.99,Financial strength,-0.561040693795864
