,COP,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",9.1,9.13,Valuation,0.9967141292442496
Price/Sales (TTM),2.11,7.57,Valuation,0.27873183619550856
Price/Book (MRQ),3.22,4.65,Valuation,0.6924731182795699
"PEG Ratio (TTM, GAAP)",0.34,0.01,Valuation,34.0
Gross Profit Margin (TTM),0.4886,0.35119999999999996,Profitability,1.39123006833713
Operating Profit Margin (TTM),0.3421,0.192,Profitability,1.7817708333333333
Net Profit Margin (TTM),0.24059999999999998,0.0358,Profitability,6.720670391061453
Annual Dividend Yield,0.0409,0.0379,Dividend,1.0791556728232188
Dividend Change %,0.16469999999999999,0.13269999999999998,Dividend,1.241145440844009
"Dividend Growth Rate, 3 Years",0.19510000000000002,0.10189999999999999,Dividend,1.9146221786064774
EPS Growth (MRQ),-0.1017,2.3421000000000003,Gowth rates,-0.0434225694889202
EPS Growth (TTM),3.1460000000000004,7.2215,Gowth rates,0.4356435643564357
Revenue Growth (MRQ),-0.006999999999999999,0.7168000000000001,Gowth rates,-0.009765624999999998
Revenue Growth (TTM),1.0734000000000001,47.807,Gowth rates,0.02245277888175372
Return On Equity (TTM),0.3875,0.3993,Effectiveness,0.9704482844978713
Return On Assets (TTM),0.19829999999999998,0.15810000000000002,Effectiveness,1.2542694497153697
Return On Investment (TTM),0.22899999999999998,0.2237,Effectiveness,1.0236924452391594
Revenue Per Employee (TTM),7581414.0,7554984.0,Effectiveness,1.0034983528753998
Total Debt/Total Capital (MRQ),0.25680000000000003,0.3658,Financial strength,0.7020229633679607
Change in Debt/Total Capital Quarter over Quarter,-0.0021,-0.002,Financial strength,1.0499999999999998
Quick Ratio (MRQ),1.37,0.96,Financial strength,1.4270833333333335
Interest Coverage (MRQ),,13.28,Financial strength,
