,COP
% Below High,0.0843
% Held by Institutions,0.8101999999999999
52-Wk Range,['66.06 - 138.49']
Annual Dividend $,5.19
Annual Dividend %,0.0409
Ask,127.5
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.3
Bid,126.52
Bid Size,500.0
Closing Price,126.81
Day Change $,0.07
Day Change %,0.0006
Day High,127.77
Day Low,126.5
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",13.93
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.43100000000000005
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,158.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.1
Prev Close,126.74
Short Interest,0.0138
Today's Open,126.89
Volume,2547757.0
Volume 10-day Avg,6518858.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,1.413237924865832
Growth 1yr High Est,2.36038961038961
Growth 1yr Consensus Est,1.886813767627721
Growth 2yr Low Est,0.5453884212913296
Growth 2yr High Est,1.1094218583349016
Growth 2yr Consensus Est,0.8274051398131156
Growth 5yr Low Est,-1.4696922127050254
Growth 5yr High Est,-3.553559419669758
Growth 5yr Consensus Est,-2.5116258161873923
Growth 5yr Actual/Est,-1.7788038874808882
Growth 3yr Historic,-2.116517818683054
Price/Earnings (TTM),9.10275
Price/Sales (TTM),2.10529
Price/Book (MRQ),3.21959
Price/Cash Flow (TTM),6.23429
5yr Low,20.84
5yr High,138.49
5yr Avg Return,0.2451
EPS Growth 5yr,
Revenue Growth 5yr,0.1367201
Dividend Growth 5yr,0.1463917
Short Int Current Month,17183497.0
Short Int Prev Month,16044213.0
Short Int Pct of Float,0.0138093
Days to Cover,2.17034
Float,1217.409
Shares Outstanding,1246.071
Institutions Holding Shares,2448.0
FCF Growth 5yr,1.0254505429576322
"Price/Earnings (TTM, GAAP)",9.1
"PEG Ratio (TTM, GAAP)",0.34
Gross Profit Margin (TTM),0.4886
Operating Profit Margin (TTM),0.3421
Net Profit Margin (TTM),0.24059999999999998
Annual Dividend Yield,0.0409
Dividend Change %,0.16469999999999999
"Dividend Growth Rate, 3 Years",0.19510000000000002
EPS Growth (MRQ),-0.1017
EPS Growth (TTM),3.1460000000000004
Revenue Growth (MRQ),-0.006999999999999999
Revenue Growth (TTM),1.0734000000000001
Return On Equity (TTM),0.3875
Return On Assets (TTM),0.19829999999999998
Return On Investment (TTM),0.22899999999999998
Revenue Per Employee (TTM),7581414.0
Total Debt/Total Capital (MRQ),0.25680000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.0021
Quick Ratio (MRQ),1.37
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-07 00:00:00
cfra since,2022-11-03 00:00:00
ford since,2022-11-25 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2021-08-04 00:00:00
