,ZBRA
% Above Low,0.1963
% Held by Institutions,0.8898
52-Wk Range,['224.87 - 615.00']
Annual Dividend $,
Annual Dividend %,
Ask,270.31
Ask Size,100.0
B/A Ratio,130.0
B/A Size,13000x100
Beta,1.6
Bid,268.38
Bid Size,13000.0
Closing Price,269.0
Day Change $,-2.9
Day Change %,-0.010700000000000001
Day High,270.06
Day Low,266.52
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",8.76
Ex-dividend Date,No dividend
Historical Volatility,0.469
Last (size),1.0
Last (time),4:00p ET 11/28/22
Market Cap,13.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",31.04
Prev Close,271.9
Short Interest,0.0177
Today's Open,268.38
Volume,492914.0
Volume 10-day Avg,463206.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.05011013215859028
Growth 1yr High Est,-0.06390977443609025
Growth 1yr Consensus Est,-0.057009953297340266
Growth 2yr Low Est,-0.07722897912277343
Growth 2yr High Est,0.02168825678654468
Growth 2yr Consensus Est,-0.027770361168114377
Growth 5yr Low Est,0.06305088611638246
Growth 5yr High Est,0.11618763984365407
Growth 5yr Consensus Est,0.08961926298001827
Growth 5yr Actual/Est,0.09806145525609036
Growth 3yr Historic,0.10764677115533228
Price/Earnings (TTM),31.03665
Price/Sales (TTM),2.44354
Price/Book (MRQ),5.30248
Price/Cash Flow (TTM),20.73581
5yr Low,101.49
5yr High,615.0
5yr Avg Return,0.2652
EPS Growth 5yr,
Revenue Growth 5yr,0.0950261
Dividend Growth 5yr,
Short Int Current Month,908442.0
Short Int Prev Month,1018716.0
Short Int Pct of Float,0.0177023
Days to Cover,1.35363
Float,51.34126
Shares Outstanding,51.6298
Institutions Holding Shares,1026.0
FCF Growth 5yr,0.49890592717808374
"Price/Earnings (TTM, GAAP)",30.71
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.454
Operating Profit Margin (TTM),0.08560000000000001
Net Profit Margin (TTM),0.0815
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),2.7341
EPS Growth (TTM),-0.4413
Revenue Growth (MRQ),-0.0613
Revenue Growth (TTM),0.0507
Return On Equity (TTM),0.171
Return On Assets (TTM),0.0703
Return On Investment (TTM),0.0969
Revenue Per Employee (TTM),586225.0
Total Debt/Total Capital (MRQ),0.4485
Change in Debt/Total Capital Quarter over Quarter,0.0072
Quick Ratio (MRQ),0.51
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-07-05 00:00:00
theStreet since,2022-06-28 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2018-02-23 00:00:00
ford since,2022-05-06 00:00:00
marketEdge opinion since,
