,ZBRA
Price/Earnings (TTM),31.03665
Price/Sales (TTM),2.44354
Price/Book (MRQ),5.30248
Price/Cash Flow (TTM),20.73581
5yr Low,101.49
5yr High,615.0
5yr Avg Return,0.2652
EPS Growth 5yr,
Revenue Growth 5yr,0.0950261
Dividend Growth 5yr,
Short Int Current Month,908442.0
Short Int Prev Month,1018716.0
Short Int Pct of Float,0.0177023
Days to Cover,1.35363
Float,51.34126
Shares Outstanding,51.6298
Institutions Holding Shares,1026.0
% Held by Institutions,0.8898269999999999
FCF Growth 5yr,0.49890592717808374
