,ZBRA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",30.71,21.62,Valuation,1.4204440333024977
Price/Sales (TTM),2.42,5.43,Valuation,0.44567219152854515
Price/Book (MRQ),5.25,5.49,Valuation,0.9562841530054644
"PEG Ratio (TTM, GAAP)",,14.73,Valuation,
Gross Profit Margin (TTM),0.454,0.33659999999999995,Profitability,1.3487819370172314
Operating Profit Margin (TTM),0.08560000000000001,-0.0824,Profitability,-1.0388349514563109
Net Profit Margin (TTM),0.0815,-0.1173,Profitability,-0.6947996589940324
Annual Dividend Yield,,0.0088,Dividend,
Dividend Change %,,0.0488,Dividend,
"Dividend Growth Rate, 3 Years",,0.046,Dividend,
EPS Growth (MRQ),2.7341,0.1058,Gowth rates,25.842155009451798
EPS Growth (TTM),-0.4413,-0.0147,Gowth rates,30.02040816326531
Revenue Growth (MRQ),-0.0613,0.1655,Gowth rates,-0.370392749244713
Revenue Growth (TTM),0.0507,0.1855,Gowth rates,0.27331536388140165
Return On Equity (TTM),0.171,0.23850000000000002,Effectiveness,0.7169811320754716
Return On Assets (TTM),0.0703,0.0752,Effectiveness,0.9348404255319148
Return On Investment (TTM),0.0969,0.1041,Effectiveness,0.930835734870317
Revenue Per Employee (TTM),586225.0,449465.0,Effectiveness,1.3042728577308578
Total Debt/Total Capital (MRQ),0.4485,0.3575,Financial strength,1.2545454545454546
Change in Debt/Total Capital Quarter over Quarter,0.0072,0.0362,Financial strength,0.19889502762430938
Quick Ratio (MRQ),0.51,1.53,Financial strength,0.3333333333333333
Interest Coverage (MRQ),,15.46,Financial strength,
