,CSL
% Above Low,0.22390000000000002
% Held by Institutions,0.8915000000000001
52-Wk Range,['211.06 - 318.71']
Annual Dividend $,3.0
Annual Dividend %,0.0116
Ask,259.02
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.9
Bid,
Bid Size,
Closing Price,258.32
Day Change $,2.69
Day Change %,0.0105
Day High,262.6
Day Low,255.79
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",16.6
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.35100000000000003
Last (size),725.0
Last (time),5:00p ET 11/25/22
Market Cap,13.4B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",15.56
Prev Close,255.63
Short Interest,0.023700000000000002
Today's Open,255.8
Volume,253220.0
Volume 10-day Avg,582081.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,1.1593406593406592
Growth 1yr High Est,1.1518716577540107
Growth 1yr Consensus Est,1.155606158547335
Growth 2yr Low Est,0.601298828398065
Growth 2yr High Est,0.6253891091950967
Growth 2yr Consensus Est,0.6133439687965809
Growth 5yr Low Est,0.3368129362116111
Growth 5yr High Est,0.35306722540500174
Growth 5yr Consensus Est,0.3449400808083064
Growth 5yr Actual/Est,0.37616589408904166
Growth 3yr Historic,0.08041048331634723
Price/Earnings (TTM),15.56111
Price/Sales (TTM),2.05108
Price/Book (MRQ),4.38219
Price/Cash Flow (TTM),11.84437
5yr Low,92.16
5yr High,318.71
5yr Avg Return,0.18265
EPS Growth 5yr,0.1556305
Revenue Growth 5yr,0.0702796
Dividend Growth 5yr,0.10379200000000001
Short Int Current Month,1215741.0
Short Int Prev Month,1334235.0
Short Int Pct of Float,0.023727900000000003
Days to Cover,1.72335
Float,51.29782
Shares Outstanding,51.71596
Institutions Holding Shares,754.0
FCF Growth 5yr,3.713225654585281
"Price/Earnings (TTM, GAAP)",15.56
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.32439999999999997
Operating Profit Margin (TTM),0.18710000000000002
Net Profit Margin (TTM),0.1345
Annual Dividend Yield,0.0116
Dividend Change %,0.039
"Dividend Growth Rate, 3 Years",0.1142
EPS Growth (MRQ),-0.1392
EPS Growth (TTM),1.6105
Revenue Growth (MRQ),-0.0286
Revenue Growth (TTM),0.47270000000000006
Return On Equity (TTM),0.31329999999999997
Return On Assets (TTM),0.1184
Return On Investment (TTM),0.1413
Revenue Per Employee (TTM),592118.0
Total Debt/Total Capital (MRQ),0.4908
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),1.27
Interest Coverage (MRQ),19.07
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-21 00:00:00
cfra since,2022-11-21 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2011-10-26 00:00:00
