,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,22.5,20.63,18.67,14.96,12.15,,,,,
low,13.13,13.45,7.47,9.74,5.88,,,,,
change,-0.2798,0.3608,-0.39420000000000005,0.0169,-0.3182,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,957.0,857.0,1031.0,769.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,752.0,781.0,701.0,677.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,-99.0,-113.0,-91.0,-87.0,Balance Sheet
"Total Receivables, Net",,,,,,653.0,668.0,731.0,690.0,Balance Sheet
Prepaid Expenses,,,,,,68.0,72.0,82.0,88.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,389.0,427.0,510.0,562.0,Balance Sheet
Total Current Assets,,,,,,2066.0,2024.0,2353.0,2109.0,Balance Sheet
Machinery/Equipment,,,,,,6744.0,6858.0,7001.0,7368.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,441.0,427.0,414.0,525.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,7185.0,7285.0,7415.0,7894.0,Balance Sheet
Accumulated Depreciation,,,,,,-2576.0,-2721.0,-2877.0,-3093.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,4609.0,4564.0,4537.0,4800.0,Balance Sheet
"Goodwill, Net",,,,,,3948.0,3928.0,3368.0,3417.0,Balance Sheet
Intangibles - Gross,,,,,,1748.0,1739.0,1741.0,1727.0,Balance Sheet
Accum. Intangible Amort.,,,,,,-959.0,-1004.0,-1052.0,-1010.0,Balance Sheet
Intangibles - Net,,,,,,2381.0,2327.0,2282.0,2310.0,Balance Sheet
Other Long Term Assets,,,,,,813.0,900.0,906.0,1028.0,Balance Sheet
Total Assets,,,,,,15386.0,15231.0,14970.0,15063.0,Balance Sheet
Accounts Payable,,,,,,398.0,349.0,319.0,412.0,Balance Sheet
Accrued Expenses,,,,,,823.0,732.0,873.0,827.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,106.0,118.0,166.0,208.0,Balance Sheet
Customer Advances,,,,,,148.0,161.0,162.0,143.0,Balance Sheet
Other Current Liabilities,,,,,,39.0,,,,Balance Sheet
"Other Curr. Lblts, Total",,,,,,187.0,161.0,162.0,143.0,Balance Sheet
