,LILAK
% Above Low,0.3265
% Held by Institutions,
52-Wk Range,['5.88 - 12.15']
Annual Dividend $,
Annual Dividend %,
Ask,8.7
Ask Size,100.0
Ask close,9.57
B/A Ratio,6.0
B/A Size,600x100
Beta,
Bid,7.47
Bid Size,600.0
Bid close,6.13
Change Since Close,0.00| |(0.00%)
Closing Price,7.8
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,0.505
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,7.8
Market Cap,1.7B
"P/E Ratio (TTM, GAAP)",--x
Prev Close,7.8
Short Interest,
Today's Open,
Volume,1.0
Volume 10-day Avg,1320765.0
Volume Past Day,(Light)
Next Earnings Announcement,
Growth Analysts,3.0
Growth 1yr Low Est,-0.6322418136020151
Growth 1yr High Est,-0.6465256797583081
Growth 1yr Consensus Est,-0.6393837466801616
Growth 2yr Low Est,-0.8914633725544322
Growth 2yr High Est,-1.4600149766312907
Growth 2yr Consensus Est,-1.1757391745928614
Growth 5yr Low Est,-0.5943089150362881
Growth 5yr High Est,-0.9733433177541938
Growth 5yr Consensus Est,-0.783826116395241
Growth 5yr Actual/Est,1.2859259698768168
Growth 3yr Historic,1.7748592870544089
5yr Low,5.88
5yr High,22.5
5yr Avg Return,-0.12290000000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.1199409
Dividend Growth 5yr,
FCF Growth 5yr,-1.3345668758459457
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
researchTeam since,
theStreet since,
ford since,
newConstructs since,
cfra since,
marketEdge opinion since,
