,MASS
% Above Low,0.1547
% Held by Institutions,0.8721
52-Wk Range,['9.28 - 28.45']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,
Bid,
Bid Size,
Closing Price,10.71
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.87
Ex-dividend Date,No dividend
Historical Volatility,0.96
Last (size),10.0
Last (time),1:00p ET 11/25/22
Market Cap,339.6M
"P/E Ratio (TTM, GAAP)",
Prev Close,10.71
Short Interest,0.0786
Today's Open,
Volume,163181.0
Volume 10-day Avg,573893.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-07 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.1351351351351351
Growth 2yr High Est,-0.03296703296703296
Growth 2yr Consensus Est,0.05108405108405106
Growth 5yr Low Est,0.1351351351351351
Growth 5yr High Est,-0.03296703296703296
Growth 5yr Consensus Est,0.05108405108405106
Growth 5yr Actual/Est,-0.10462233910531626
Growth 3yr Historic,-0.22127659574468087
Price/Earnings (TTM),
Price/Sales (TTM),6.65285
Price/Book (MRQ),1.72516
Price/Cash Flow (TTM),
5yr Low,9.28
5yr High,79.6
5yr Avg Return,-0.2900333333333333
Short Int Current Month,2285237.0
Short Int Prev Month,2234007.0
Short Int Pct of Float,0.0785859
Days to Cover,5.12606
Float,29.13808
Shares Outstanding,31.71128
Institutions Holding Shares,131.0
FCF Growth 5yr,3.0687664908434957
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5727000000000001
Operating Profit Margin (TTM),-0.5597
Net Profit Margin (TTM),-0.5336
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.23190000000000002
EPS Growth (TTM),0.4056
Revenue Growth (MRQ),0.42240000000000005
Revenue Growth (TTM),0.5912
Return On Equity (TTM),-0.1706
Return On Assets (TTM),-0.1311
Return On Investment (TTM),-0.1421
Revenue Per Employee (TTM),288418.0
Total Debt/Total Capital (MRQ),0.0709
Change in Debt/Total Capital Quarter over Quarter,-0.0033000000000000004
Quick Ratio (MRQ),11.12
Interest Coverage (MRQ),-216.79
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-03-08 00:00:00
theStreet since,2022-03-08 00:00:00
ford since,2022-08-12 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
