,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,74.0,79.6,26.63,,,,,
low,43.25,22.21,9.28,,,,,
change,0.2514,-0.5314,-0.5901,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,224073.0,223120.0,212994.0,193698.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,8073.0,12848.0,16981.0,Balance Sheet
Prov. for Doubtful Accts,,,,,-1750.0,-1750.0,-1750.0,Balance Sheet
"Total Receivables, Net",,,,16375.0,6323.0,11098.0,15231.0,Balance Sheet
Invent. - Finished Goods,,,,1125.0,864.0,891.0,944.0,Balance Sheet
Invent. - Work In Progress,,,,551.0,2102.0,2666.0,2462.0,Balance Sheet
Invent. - Raw Materials,,,,6242.0,6666.0,7621.0,8325.0,Balance Sheet
Total Inventory,,,,7918.0,9632.0,11178.0,11731.0,Balance Sheet
Prepaid Expenses,,,,4527.0,3908.0,3408.0,3222.0,Balance Sheet
Total Current Assets,,,,252893.0,242983.0,238678.0,223882.0,Balance Sheet
Buildings,,,,21.0,,,,Balance Sheet
Machinery/Equipment,,,,4928.0,,,,Balance Sheet
Other Prop./Plant/Equip.,,,,5294.0,,,,Balance Sheet
Prop./Plant/Equip. - Gross,,,,10243.0,,,,Balance Sheet
Accumulated Depreciation,,,,-3458.0,,,,Balance Sheet
Prop./Plant/Equip. - Net,,,,6785.0,7063.0,7002.0,7032.0,Balance Sheet
"Goodwill, Net",,,,,,,9200.0,Balance Sheet
Intangibles - Gross,,,,,,,8424.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-455.0,Balance Sheet
Intangibles - Net,,,,,,,7969.0,Balance Sheet
Other Long Term Assets,,,,1228.0,1180.0,1315.0,1198.0,Balance Sheet
Total Assets,,,,260906.0,251226.0,246995.0,249281.0,Balance Sheet
Accounts Payable,,,,1371.0,2162.0,1234.0,1663.0,Balance Sheet
Accrued Expenses,,,,8305.0,5723.0,7359.0,9996.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,0.0,,,,Balance Sheet
"Other Curr. Lblts, Total",,,,5160.0,5779.0,6841.0,7419.0,Balance Sheet
Total Current Liabilities,,,,14836.0,13664.0,15434.0,19078.0,Balance Sheet
Total Long Term Debt,,,,15000.0,15000.0,15000.0,15000.0,Balance Sheet
Total Debt,,,,15000.0,15000.0,15000.0,15000.0,Balance Sheet
Deferred Income Tax,,,,,,,2570.0,Balance Sheet
"Other Liabilities, Total",,,,16466.0,15760.0,15446.0,16133.0,Balance Sheet
Total Liabilities,,,,46302.0,44424.0,45880.0,52781.0,Balance Sheet
Redeemable Preferred Stock,,,,0.0,0.0,0.0,,Balance Sheet
Common Stock,,,,31.0,31.0,32.0,32.0,Balance Sheet
Additional Paid-In Capital,,,,315210.0,316823.0,319234.0,321491.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-100637.0,-110052.0,-118151.0,-124410.0,Balance Sheet
"Other Equity, Total",,,,,,,-613.0,Balance Sheet
Total Equity,,,,214604.0,206802.0,201115.0,196500.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,260906.0,251226.0,246995.0,249281.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,31077.0,31334.0,31531.0,31652.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,15841.0,8306.0,11106.0,15797.0,Income Statement
"Cost of Revenue, Total",,,,6707.0,4177.0,4472.0,6459.0,Income Statement
Selling/Gen/Admin Expense,,,,8254.0,8779.0,9323.0,10283.0,Income Statement
Labor & Related Expense,,,,663.0,966.0,1387.0,1474.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,8917.0,9745.0,10710.0,11757.0,Income Statement
Research & Development,,,,3745.0,3905.0,4293.0,4666.0,Income Statement
Depreciation/Amortization,,,,,,,69.0,Income Statement
Total Operating Expense,,,,19369.0,17827.0,19475.0,22951.0,Income Statement
Total Operating Income,,,,-3528.0,-9521.0,-8369.0,-7154.0,Income Statement
"Inter Expse,Net Non-Operat",,,,-40.0,-20.0,-15.0,-33.0,Income Statement
OtherNon-OperatInc (Expnse),,,,103.0,126.0,285.0,928.0,Income Statement
"Other, Net",,,,103.0,126.0,285.0,928.0,Income Statement
Income Before Tax,,,,-3465.0,-9415.0,-8099.0,-6259.0,Income Statement
Income After Tax,,,,-3465.0,-9415.0,-8099.0,-6259.0,Income Statement
Net Inc Before Extra Items,,,,-3465.0,-9415.0,-8099.0,-6259.0,Income Statement
Total Net Income,,,,-3465.0,-9415.0,-8099.0,-6259.0,Income Statement
Total Adjust to Net Income,,,,0.0,,,,Income Statement
Income Available to Common Excl. Extra. Items,,,,-3465.0,-9415.0,-8099.0,-6259.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,-3465.0,-9415.0,-8099.0,-6259.0,Income Statement
Basic/Primary Weighted Average Shares,,,,29493.0,31211.0,31413.0,31606.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,-0.12,-0.3,-0.26,-0.2,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,-0.12,-0.3,-0.26,-0.2,Income Statement
Diluted Weighted Average Shares,,,,29493.0,31211.0,31413.0,31606.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,-0.12,-0.3,-0.26,-0.2,Income Statement
Diluted EPS Incl. Extra. Items,,,,-0.12,-0.3,-0.26,-0.2,Income Statement
Div/Share-ComStockPrimIssue,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,40.0,20.0,15.0,33.0,Income Statement
"Depreciat/Amort, Suppl",,,,289.0,267.0,311.0,324.0,Income Statement
Normalzd Income Before Tax,,,,-3465.0,-9415.0,-8099.0,-6259.0,Income Statement
Normalized Income After Tax,,,,-3465.0,-9415.0,-8099.0,-6259.0,Income Statement
Normalzd Inc Avail to Common,,,,-3465.0,-9415.0,-8099.0,-6259.0,Income Statement
Basic Normalized EPS,,,,-0.12,-0.3,-0.26,-0.2,Income Statement
Diluted Normalized EPS,,,,-0.12,-0.3,-0.26,-0.2,Income Statement
