,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,38.18,51.98,134.52,181.3,133.11,,,,,
low,10.78,24.05,37.26,78.86,29.23,,,,,
change,1.1908,0.6575,1.9273,0.0222,-0.6951,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,28526.0,21187.0,31121.0,46107.0,Balance Sheet
Prepaid Expenses,,,,,,4785.0,10458.0,7195.0,5573.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,37218.0,35792.0,39597.0,48907.0,Balance Sheet
Accumulated Depreciation,,,,,,-12285.0,-10535.0,-12026.0,-13688.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,57589.0,62678.0,68989.0,77747.0,Balance Sheet
Intangibles - Net,,,,,,2798.0,3399.0,3749.0,4334.0,Balance Sheet
Insurance Receivables,,,,,,44222.0,40593.0,41056.0,42326.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,125676.0,128977.0,131164.0,140244.0,Balance Sheet
Restricted Cash - LT,,,,,,1953.0,1492.0,2427.0,2263.0,Balance Sheet
Other Assets,,,,,,4742.0,6487.0,5585.0,5394.0,Balance Sheet
"Other Assets, Total",,,,,,4742.0,6487.0,5585.0,5394.0,Balance Sheet
Total Assets,,,,,,270291.0,275271.0,291286.0,323988.0,Balance Sheet
Accounts Payable,,,,,,12995.0,6742.0,5753.0,13500.0,Balance Sheet
Accrued Expenses,,,,,,52228.0,57997.0,63195.0,70957.0,Balance Sheet
Policy Liabilities,,,,,,1953.0,1492.0,2427.0,2263.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,4375.0,5000.0,5625.0,6250.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,6054.0,6214.0,6363.0,6224.0,Balance Sheet
Total Long Term Debt,,,,,,118361.0,117167.0,115349.0,113530.0,Balance Sheet
Total Debt,,,,,,122736.0,122167.0,120974.0,119780.0,Balance Sheet
Minority Interest,,,,,,-55168.0,-57450.0,-54770.0,-51994.0,Balance Sheet
"Other Liabilities, Total",,,,,,143513.0,148556.0,151321.0,156929.0,Balance Sheet
Total Liabilities,,,,,,284311.0,285718.0,295263.0,317659.0,Balance Sheet
Common Stock,,,,,,370.0,370.0,371.0,373.0,Balance Sheet
Additional Paid-In Capital,,,,,,46281.0,52589.0,58942.0,67238.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-60671.0,-63406.0,-63290.0,-61282.0,Balance Sheet
Total Equity,,,,,,-14020.0,-10447.0,-3977.0,6329.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,270291.0,275271.0,291286.0,323988.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,,,20198.0,20321.0,20534.0,21202.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,,,16909.0,16808.0,16693.0,16201.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,37107.0,37129.0,37227.0,37403.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Premiums Earned,,,,,,39918.0,40959.0,52692.0,57324.0,Income Statement
Net Investment Income,,,,,,312.0,319.0,330.0,363.0,Income Statement
Total Revenue,,,,,,40230.0,41278.0,53022.0,57687.0,Income Statement
Selling/Gen/Admin Expense,,,,,,13354.0,14320.0,14038.0,15762.0,Income Statement
Labor & Related Expense,,,,,,23176.0,31484.0,31659.0,36328.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,36530.0,45804.0,45697.0,52090.0,Income Statement
Depreciation/Amortization,,,,,,1553.0,1576.0,1658.0,1809.0,Income Statement
Unusual Expense (Income),,,,,,,0.0,0.0,,Income Statement
Total Operating Expense,,,,,,38083.0,47380.0,47355.0,53899.0,Income Statement
Total Operating Income,,,,,,2147.0,-6102.0,5667.0,3788.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,-951.0,-883.0,-1114.0,-1414.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,39.0,0.0,0.0,0.0,Income Statement
"Other, Net",,,,,,39.0,0.0,0.0,0.0,Income Statement
Income Before Tax,,,,,,1235.0,-6985.0,4553.0,2374.0,Income Statement
Income Tax - Total,,,,,,354.0,-1602.0,2164.0,-666.0,Income Statement
Income After Tax,,,,,,881.0,-5383.0,2389.0,3040.0,Income Statement
Minority Interest,,,,,,-605.0,3097.0,-2047.0,-1061.0,Income Statement
Net Inc Before Extra Items,,,,,,276.0,-2286.0,342.0,1979.0,Income Statement
Total Net Income,,,,,,276.0,-2286.0,342.0,1979.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,276.0,-2286.0,342.0,1979.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,276.0,-2286.0,342.0,1979.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,20015.0,20401.0,20454.0,20892.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,0.01,-0.11,0.02,0.09,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,0.01,-0.11,0.02,0.09,Income Statement
Diluted Weighted Average Shares,,,,,,21542.0,20401.0,21245.0,21569.0,Income Statement
