,GSHD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",3282.65,19.05,Valuation,172.31758530183725
Price/Sales (TTM),7.72,2.31,Valuation,3.3419913419913416
Price/Book (MRQ),234.74,3.65,Valuation,64.31232876712329
"PEG Ratio (TTM, GAAP)",168.34,6.78,Valuation,24.828908554572273
Gross Profit Margin (TTM),,0.0207,Profitability,
Operating Profit Margin (TTM),0.0286,0.1342,Profitability,0.21311475409836064
Net Profit Margin (TTM),0.0048,0.1081,Profitability,0.04440333024976873
Annual Dividend Yield,,0.0167,Dividend,
Dividend Change %,,-0.004,Dividend,
"Dividend Growth Rate, 3 Years",,0.0233,Dividend,
EPS Growth (MRQ),3.6835000000000004,-0.11750000000000001,Gowth rates,-31.348936170212767
EPS Growth (TTM),-0.9684,-0.0281,Gowth rates,34.462633451957295
Revenue Growth (MRQ),0.08800000000000001,0.0922,Gowth rates,0.9544468546637744
Revenue Growth (TTM),0.319,0.0431,Gowth rates,7.40139211136891
Return On Equity (TTM),,0.35479999999999995,Effectiveness,
Return On Assets (TTM),0.0032,0.031200000000000002,Effectiveness,0.10256410256410256
Return On Investment (TTM),,0.032,Effectiveness,
Revenue Per Employee (TTM),155264.0,1270541.0,Effectiveness,0.1222030615304819
Total Debt/Total Capital (MRQ),1.6161,0.38939999999999997,Financial strength,4.150231124807396
Change in Debt/Total Capital Quarter over Quarter,-0.0026000000000000003,0.0019,Financial strength,-1.3684210526315792
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),2.68,10.36,Financial strength,0.2586872586872587
