,GSHD
% Above Low,0.3591
% Held by Institutions,1.0562
52-Wk Range,['29.23 - 146.25']
Annual Dividend $,
Annual Dividend %,
Ask,39.72
Ask Size,700.0
B/A Ratio,1.5714285714285714
B/A Size,1100x700
Beta,1.2
Bid,37.5
Bid Size,1100.0
Closing Price,39.72
Day Change $,-0.35
Day Change %,-0.0087
Day High,40.15
Day Low,39.35
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.01
Ex-dividend Date,No dividend
Historical Volatility,0.8140000000000001
Last (size),9.0
Last (time),1:00p ET 11/25/22
Market Cap,840.0M
"P/E Ratio (TTM, GAAP)",3282.65
Prev Close,40.07
Short Interest,0.0931
Today's Open,40.0
Volume,40398.0
Volume 10-day Avg,281067.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.06521739130434767
Growth 1yr High Est,0.08928571428571419
Growth 1yr Consensus Est,0.07725155279503093
Growth 2yr Low Est,0.0836291038154392
Growth 2yr High Est,0.48726580796252916
Growth 2yr Consensus Est,0.2854474558889842
Growth 5yr Low Est,-0.022025041900818294
Growth 5yr High Est,0.22484387197501945
Growth 5yr Consensus Est,0.10140941503710059
Growth 5yr Actual/Est,0.6426502419149478
Growth 3yr Historic,0.4491978609625669
Price/Earnings (TTM),3282.645
Price/Sales (TTM),7.7179
Price/Book (MRQ),234.7365
Price/Cash Flow (TTM),191.4703
5yr Low,10.78
5yr High,181.3
5yr Avg Return,0.62054
EPS Growth 5yr,0.1398278
Revenue Growth 5yr,0.3688531
Dividend Growth 5yr,
Short Int Current Month,1860352.0
Short Int Prev Month,1909557.0
Short Int Pct of Float,0.0930979
Days to Cover,5.80111
Float,19.99155
Shares Outstanding,37.34924
Institutions Holding Shares,230.0
FCF Growth 5yr,0.377292056257528
"Price/Earnings (TTM, GAAP)",3282.65
"PEG Ratio (TTM, GAAP)",168.34
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.0286
Net Profit Margin (TTM),0.0048
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),3.6835000000000004
EPS Growth (TTM),-0.9684
Revenue Growth (MRQ),0.08800000000000001
Revenue Growth (TTM),0.319
Return On Equity (TTM),
Return On Assets (TTM),0.0032
Return On Investment (TTM),
Revenue Per Employee (TTM),155264.0
Total Debt/Total Capital (MRQ),1.6161
Change in Debt/Total Capital Quarter over Quarter,-0.0026000000000000003
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.68
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2021-10-28 00:00:00
researchTeam since,2021-10-29 00:00:00
ford since,2022-01-21 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
