,APAM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",9.88,20.51,Valuation,0.48171623598244756
Price/Sales (TTM),2.48,12.46,Valuation,0.19903691813804172
Price/Book (MRQ),11.25,4.63,Valuation,2.429805615550756
"PEG Ratio (TTM, GAAP)",,2.67,Valuation,
Gross Profit Margin (TTM),,0.5835,Profitability,
Operating Profit Margin (TTM),0.38060000000000005,0.269,Profitability,1.4148698884758366
Net Profit Margin (TTM),0.2677,0.1791,Profitability,1.4946957007258515
Annual Dividend Yield,0.0663,0.0257,Dividend,2.5797665369649803
Dividend Change %,0.405,0.2049,Dividend,1.9765739385065888
"Dividend Growth Rate, 3 Years",0.1777,0.1213,Dividend,1.4649629018961252
EPS Growth (MRQ),0.0538,-0.2356,Gowth rates,-0.22835314091680814
EPS Growth (TTM),-0.3155,-0.0768,Gowth rates,4.108072916666667
Revenue Growth (MRQ),-0.0679,0.0931,Gowth rates,-0.7293233082706767
Revenue Growth (TTM),-0.0775,0.0447,Gowth rates,-1.7337807606263984
Return On Equity (TTM),0.8668000000000001,0.1783,Effectiveness,4.86146943353898
Return On Assets (TTM),0.2227,0.0492,Effectiveness,4.526422764227642
Return On Investment (TTM),0.6291,0.1008,Effectiveness,6.241071428571429
Revenue Per Employee (TTM),2173362.0,1125238.0,Effectiveness,1.931468720395152
Total Debt/Total Capital (MRQ),0.34140000000000004,0.5241,Financial strength,0.651402404121351
Change in Debt/Total Capital Quarter over Quarter,-0.0006,0.0008,Financial strength,-0.7499999999999999
Quick Ratio (MRQ),,0.0,Financial strength,
Interest Coverage (MRQ),6.6,21.92,Financial strength,0.30109489051094884
