,APAM
% Above Low,0.31579999999999997
% Held by Institutions,0.8151
52-Wk Range,['25.67 - 48.59']
Annual Dividend $,2.24
Annual Dividend %,0.0663
Ask,36.0
Ask Size,100.0
B/A Ratio,55.0
B/A Size,5500x100
Beta,1.7
Bid,29.0
Bid Size,5500.0
Closing Price,33.77
Day Change $,-0.05
Day Change %,-0.0015
Day High,34.03
Day Low,33.66
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",3.42
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.38
Last (size),29.0
Last (time),5:00p ET 11/25/22
Market Cap,2.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.88
Prev Close,33.82
Short Interest,0.059699999999999996
Today's Open,33.66
Volume,152350.0
Volume 10-day Avg,579557.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.39278557114228463
Growth 1yr High Est,-0.3849206349206349
Growth 1yr Consensus Est,-0.38885310303145976
Growth 2yr Low Est,-0.29375252154473963
Growth 2yr High Est,-0.24891193036354325
Growth 2yr Consensus Est,-0.2713322259541414
Growth 5yr Low Est,0.04708439689057792
Growth 5yr High Est,0.06592353032835876
Growth 5yr Consensus Est,0.05650396360946834
Growth 5yr Actual/Est,0.053931156239316574
Growth 3yr Historic,0.18942538043661644
Price/Earnings (TTM),9.87973
Price/Sales (TTM),2.48397
Price/Book (MRQ),11.25291
Price/Cash Flow (TTM),9.04546
5yr Low,17.69
5yr High,57.65
5yr Avg Return,0.045116666666666666
EPS Growth 5yr,0.2650555
Revenue Growth 5yr,0.1122836
Dividend Growth 5yr,0.1031002
Short Int Current Month,3938008.0
Short Int Prev Month,3926846.0
Short Int Pct of Float,0.059704499999999994
Days to Cover,6.0591
Float,65.9583
Shares Outstanding,79.61156
Institutions Holding Shares,338.0
FCF Growth 5yr,0.009488674088322954
"Price/Earnings (TTM, GAAP)",9.88
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.38060000000000005
Net Profit Margin (TTM),0.2677
Annual Dividend Yield,0.0663
Dividend Change %,0.405
"Dividend Growth Rate, 3 Years",0.1777
EPS Growth (MRQ),0.0538
EPS Growth (TTM),-0.3155
Revenue Growth (MRQ),-0.0679
Revenue Growth (TTM),-0.0775
Return On Equity (TTM),0.8668000000000001
Return On Assets (TTM),0.2227
Return On Investment (TTM),0.6291
Revenue Per Employee (TTM),2173362.0
Total Debt/Total Capital (MRQ),0.34140000000000004
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),6.6
newConstructs,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
newConstructs since,2022-11-26 00:00:00
researchTeam since,2021-08-20 00:00:00
ford since,2021-08-27 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-10-20 00:00:00
