,HXL
% Below High,0.07719999999999999
% Held by Institutions,0.9836
52-Wk Range,['46.77 - 65.82']
Annual Dividend $,0.4
Annual Dividend %,0.0066
Ask,68.0
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.2
Bid,54.24
Bid Size,200.0
Closing Price,60.74
Day Change $,0.14
Day Change %,0.0023
Day High,61.05
Day Low,60.49
Dividend Pay Date,2022-11-14 00:00:00
"EPS (TTM, GAAP)",1.28
Ex-dividend,2022-11-03 00:00:00
Ex-dividend Date,11/03/22
Historical Volatility,0.391
Last (size),2000.0
Last (time),5:00p ET 11/25/22
Market Cap,5.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",47.57
Prev Close,60.6
Short Interest,0.0542
Today's Open,60.65
Volume,109730.0
Volume 10-day Avg,486300.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-0.6666666666666667
Growth 1yr High Est,-0.651685393258427
Growth 1yr Consensus Est,-0.6591760299625469
Growth 2yr Low Est,-0.1507246376811594
Growth 2yr High Est,0.02093149691917362
Growth 2yr Consensus Est,-0.06489657038099289
Growth 5yr Low Est,-0.0753623188405797
Growth 5yr High Est,0.01046574845958681
Growth 5yr Consensus Est,-0.032448285190496445
Growth 5yr Actual/Est,0.7859765467252097
Growth 3yr Historic,-0.21249299719887954
Price/Earnings (TTM),47.56684
Price/Sales (TTM),3.38895
Price/Book (MRQ),3.53511
Price/Cash Flow (TTM),21.95176
5yr Low,24.54
5yr High,87.0
5yr Avg Return,0.016983333333333336
EPS Growth 5yr,-0.3996187
Revenue Growth 5yr,-0.0794848
Dividend Growth 5yr,
Short Int Current Month,4537103.0
Short Int Prev Month,4572606.0
Short Int Pct of Float,0.0541954
Days to Cover,8.05122
Float,83.71831
Shares Outstanding,84.17131
Institutions Holding Shares,460.0
FCF Growth 5yr,-0.9113757256438273
"Price/Earnings (TTM, GAAP)",47.57
"PEG Ratio (TTM, GAAP)",0.45
Gross Profit Margin (TTM),0.2168
Operating Profit Margin (TTM),0.1045
Net Profit Margin (TTM),0.0679
Annual Dividend Yield,0.006600000000000001
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.4012
EPS Growth (TTM),5.983
Revenue Growth (MRQ),-0.07200000000000001
Revenue Growth (TTM),0.19710000000000003
Return On Equity (TTM),0.07400000000000001
Return On Assets (TTM),0.0363
Return On Investment (TTM),0.0398
Revenue Per Employee (TTM),310220.0
Total Debt/Total Capital (MRQ),0.3556
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),1.35
Interest Coverage (MRQ),4.58
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2020-03-17 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-25 00:00:00
ford since,2021-12-31 00:00:00
marketEdge opinion since,
