,CLDX
% Below High,0.2077
% Held by Institutions,1.043
52-Wk Range,['19.85 - 42.46']
Annual Dividend $,
Annual Dividend %,
Ask,39.95
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,2.3
Bid,33.8
Bid Size,100.0
Closing Price,33.64
Day Change $,-0.75
Day Change %,-0.0218
Day High,34.58
Day Low,33.51
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.27
Ex-dividend Date,No dividend
Historical Volatility,0.6779999999999999
Last (size),65.0
Last (time),12:59p ET 11/25/22
Market Cap,1.6B
"P/E Ratio (TTM, GAAP)",
Prev Close,34.39
Short Interest,0.08789999999999999
Today's Open,34.17
Volume,83493.0
Volume 10-day Avg,447631.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.4497041420118344
Growth 1yr High Est,0.3374999999999999
Growth 1yr Consensus Est,0.39360207100591715
Growth 2yr Low Est,0.25138268325081514
Growth 2yr High Est,0.18510514018691582
Growth 2yr Consensus Est,0.21824391171886548
Growth 5yr Low Est,0.25138268325081514
Growth 5yr High Est,0.18510514018691582
Growth 5yr Consensus Est,0.21824391171886548
Growth 5yr Actual/Est,-0.035098080206536514
Growth 3yr Historic,-0.15315505909565316
Price/Earnings (TTM),
Price/Sales (TTM),1469.794
Price/Book (MRQ),4.58668
Price/Cash Flow (TTM),
5yr Low,1.5
5yr High,57.2
5yr Avg Return,1.1032166666666665
EPS Growth 5yr,
Revenue Growth 5yr,-0.0727721
Dividend Growth 5yr,
Short Int Current Month,4126994.0
Short Int Prev Month,4499168.0
Short Int Pct of Float,0.0878912
Days to Cover,7.89188
Float,46.95592
Shares Outstanding,47.09983
Institutions Holding Shares,224.0
FCF Growth 5yr,0.352202807519912
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-99.897
Net Profit Margin (TTM),-98.3173
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2586
EPS Growth (TTM),-0.289
Revenue Growth (MRQ),1.4969000000000001
Revenue Growth (TTM),-0.867
Return On Equity (TTM),-0.271
Return On Assets (TTM),-0.2556
Return On Investment (TTM),-0.26530000000000004
Revenue Per Employee (TTM),8166.67
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
cfra,
theStreet,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2009-10-11 00:00:00
ford since,
researchTeam since,
marketEdge opinion since,
