,OSW
% Below High,0.098
% Held by Institutions,0.9401999999999999
52-Wk Range,['6.80 - 11.12']
Annual Dividend $,
Annual Dividend %,
Ask,10.13
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.9
Bid,10.03
Bid Size,400.0
Day Change $,-0.12
Day Change %,-0.0118
Day High,10.46
Day Low,10.03
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.46
Ex-dividend Date,No dividend
Historical Volatility,0.48600000000000004
Last (size),49.0
Last (time),9:47a ET 11/28/22
Market Cap,934.9M
"P/E Ratio (TTM, GAAP)",21.83
Prev Close,10.15
Price,10.03
Short Interest,0.09380000000000001
Today's Open,10.36
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.5
Growth 1yr High Est,-0.5106382978723404
Growth 1yr Consensus Est,-0.5053191489361701
Growth 2yr Low Est,0.2727272727272727
Growth 2yr High Est,0.3098982423681775
Growth 2yr Consensus Est,0.2913127575477251
Growth 5yr Low Est,0.13636363636363635
Growth 5yr High Est,0.15494912118408874
Growth 5yr Consensus Est,0.14565637877386256
Growth 5yr Actual/Est,-0.9961855363601823
Growth 3yr Historic,-0.8792773237997957
Price/Earnings (TTM),21.83453
Price/Sales (TTM),1.73308
Price/Book (MRQ),2.57494
Price/Cash Flow (TTM),12.129
5yr Low,2.45
5yr High,17.25
5yr Avg Return,0.05613333333333334
Short Int Current Month,6411447.0
Short Int Prev Month,6212222.0
Short Int Pct of Float,0.0937926
Days to Cover,11.91938
Float,54.76626
Shares Outstanding,79.05358
Institutions Holding Shares,166.0
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",21.83
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1496
Operating Profit Margin (TTM),0.0008
Net Profit Margin (TTM),0.09630000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.8937999999999999
EPS Growth (TTM),1.4338
Revenue Growth (MRQ),0.2741
Revenue Growth (TTM),6.442200000000001
Return On Equity (TTM),0.1348
Return On Assets (TTM),0.0644
Return On Investment (TTM),0.0699
Revenue Per Employee (TTM),159376.0
Total Debt/Total Capital (MRQ),0.37950000000000006
Change in Debt/Total Capital Quarter over Quarter,-0.0005
Quick Ratio (MRQ),1.25
Interest Coverage (MRQ),2.67
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-08-19 00:00:00
theStreet since,2022-08-19 00:00:00
ford since,2021-03-19 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
