,OSW,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",21.83,-674.43,Valuation,-0.03236807378082232
Price/Sales (TTM),1.73,3.81,Valuation,0.4540682414698163
Price/Book (MRQ),2.57,2.94,Valuation,0.8741496598639455
"PEG Ratio (TTM, GAAP)",,-5.1,Valuation,
Gross Profit Margin (TTM),0.1496,0.30350000000000005,Profitability,0.4929159802306425
Operating Profit Margin (TTM),0.0008,0.047,Profitability,0.01702127659574468
Net Profit Margin (TTM),0.09630000000000001,0.024900000000000002,Profitability,3.8674698795180724
Annual Dividend Yield,,0.0049,Dividend,
Dividend Change %,,0.015500000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.013000000000000001,Dividend,
EPS Growth (MRQ),-0.8937999999999999,-8.9082,Gowth rates,0.10033452324824317
EPS Growth (TTM),1.4338,1.3234000000000001,Gowth rates,1.0834214901012542
Revenue Growth (MRQ),0.2741,0.0315,Gowth rates,8.701587301587303
Revenue Growth (TTM),6.442200000000001,0.1202,Gowth rates,53.595673876871885
Return On Equity (TTM),0.1348,0.0073,Effectiveness,18.465753424657535
Return On Assets (TTM),0.0644,-0.0022,Effectiveness,-29.27272727272727
Return On Investment (TTM),0.0699,0.005699999999999999,Effectiveness,12.263157894736844
Revenue Per Employee (TTM),159376.0,227358.0,Effectiveness,0.7009913880312106
Total Debt/Total Capital (MRQ),0.37950000000000006,0.5721,Financial strength,0.6633455689564762
Change in Debt/Total Capital Quarter over Quarter,-0.0005,0.001,Financial strength,-0.5
Quick Ratio (MRQ),1.25,0.56,Financial strength,2.2321428571428568
Interest Coverage (MRQ),2.67,2.57,Financial strength,1.038910505836576
