,JCOM
Price/Earnings (TTM),11.47081
Price/Sales (TTM),3.02305
Price/Book (MRQ),2.36444
Price/Cash Flow (TTM),7.03632
5yr Low,53.25
5yr High,147.35
5yr Avg Return,0.03423333333333333
EPS Growth 5yr,0.21756979999999998
Revenue Growth 5yr,0.10135999999999999
Dividend Growth 5yr,
Short Int Current Month,3130351.0
Short Int Prev Month,3090628.0
Short Int Pct of Float,0.0697513
Days to Cover,8.55341
Float,44.85727
Shares Outstanding,47.19156
Institutions Holding Shares,358.0
% Held by Institutions,1.026092
FCF Growth 5yr,0.11809418352358432
