,JCOM
% Above Low,0.32920000000000005
% Held by Institutions,1.0261
52-Wk Range,['66.85 - 115.84']
Annual Dividend $,
Annual Dividend %,
Ask,88.9
Ask Size,200.0
B/A Ratio,15.5
B/A Size,3100x200
Beta,1.1
Bid,88.86
Bid Size,3100.0
Closing Price,88.86
Day Change $,-1.01
Day Change %,-0.011200000000000002
Day High,90.42
Day Low,88.77
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",7.83
Ex-dividend Date,No dividend
Historical Volatility,0.39
Last (size),9600.0
Last (time),3:59p ET 11/28/22
Market Cap,4.2B
"P/E Ratio (TTM, GAAP)",11.47
Prev Close,89.87
Short Interest,0.0698
Today's Open,89.17
Volume,325506.0
Volume 10-day Avg,273751.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.14649681528662417
Growth 1yr High Est,-0.14968553459119505
Growth 1yr Consensus Est,-0.1480911749389096
Growth 2yr Low Est,-0.06653198973286434
Growth 2yr High Est,-0.04303803356778685
Growth 2yr Consensus Est,-0.054785011650325594
Growth 5yr Low Est,-0.002908852009289309
Growth 5yr High Est,0.008805383780281478
Growth 5yr Consensus Est,0.0029482658854960847
Growth 5yr Actual/Est,0.010734554711779615
Growth 3yr Historic,-0.01769853438868399
Price/Earnings (TTM),11.47081
Price/Sales (TTM),3.02305
Price/Book (MRQ),2.36444
Price/Cash Flow (TTM),7.03632
5yr Low,53.25
5yr High,147.35
5yr Avg Return,0.03423333333333333
EPS Growth 5yr,0.21756979999999998
Revenue Growth 5yr,0.10135999999999999
Dividend Growth 5yr,
Short Int Current Month,3130351.0
Short Int Prev Month,3090628.0
Short Int Pct of Float,0.0697513
Days to Cover,8.55341
Float,44.85727
Shares Outstanding,47.19156
Institutions Holding Shares,358.0
FCF Growth 5yr,0.11809418352358432
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-08-06 00:00:00
theStreet since,2022-06-07 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-06-10 00:00:00
cfra since,
marketEdge opinion since,
