,GPI
Price/Earnings (TTM),4.18593
Price/Sales (TTM),0.18033
Price/Book (MRQ),1.31045
Price/Cash Flow (TTM),3.287
5yr Low,26.26
5yr High,212.23
5yr Avg Return,0.2152
EPS Growth 5yr,0.38738
Revenue Growth 5yr,0.0436712
Dividend Growth 5yr,0.07885239999999999
Short Int Current Month,2269605.0
Short Int Prev Month,2335858.0
Short Int Pct of Float,0.1628659
Days to Cover,12.23645
Float,13.93306
Shares Outstanding,14.58075
Institutions Holding Shares,384.0
% Held by Institutions,1.038389
FCF Growth 5yr,0.06442688440292758
