,GPI
% Below High,0.1017
% Held by Institutions,1.0384
52-Wk Range,['136.16 - 212.23']
Annual Dividend $,1.56
Annual Dividend %,0.008199999999999999
Ask,224.9
Ask Size,700.0
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,1.5
Bid,175.0
Bid Size,100.0
Closing Price,190.65
Day Change $,-0.17
Day Change %,-0.0009
Day High,191.68
Day Low,189.5
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",45.55
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.454
Last (size),7.0
Last (time),5:00p ET 11/25/22
Market Cap,2.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.19
Prev Close,190.82
Short Interest,0.1629
Today's Open,190.22
Volume,57643.0
Volume 10-day Avg,158085.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.3138686131386861
Growth 1yr High Est,0.31465517241379315
Growth 1yr Consensus Est,0.3142618927762396
Growth 2yr Low Est,-0.004176804541768053
Growth 2yr High Est,0.17645326926700589
Growth 2yr Consensus Est,0.08613823236261892
Growth 5yr Low Est,0.40446081163384656
Growth 5yr High Est,0.48362696787914
Growth 5yr Consensus Est,0.44404388975649334
Growth 5yr Actual/Est,0.438712846020471
Growth 3yr Historic,0.3978562360496019
Price/Earnings (TTM),4.18593
Price/Sales (TTM),0.18033
Price/Book (MRQ),1.31045
Price/Cash Flow (TTM),3.287
5yr Low,26.26
5yr High,212.23
5yr Avg Return,0.2152
EPS Growth 5yr,0.38738
Revenue Growth 5yr,0.0436712
Dividend Growth 5yr,0.07885239999999999
Short Int Current Month,2269605.0
Short Int Prev Month,2335858.0
Short Int Pct of Float,0.1628659
Days to Cover,12.23645
Float,13.93306
Shares Outstanding,14.58075
Institutions Holding Shares,384.0
FCF Growth 5yr,0.06442688440292758
"Price/Earnings (TTM, GAAP)",4.19
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1869
Operating Profit Margin (TTM),0.0696
Net Profit Margin (TTM),0.0492
Annual Dividend Yield,0.008199999999999999
Dividend Change %,1.2167000000000001
"Dividend Growth Rate, 3 Years",0.08539999999999999
EPS Growth (MRQ),0.0396
EPS Growth (TTM),0.4927
Revenue Growth (MRQ),0.0043
Revenue Growth (TTM),0.18739999999999998
Return On Equity (TTM),0.3572
Return On Assets (TTM),0.1377
Return On Investment (TTM),0.18230000000000002
Revenue Per Employee (TTM),1124309.0
Total Debt/Total Capital (MRQ),0.5484
Change in Debt/Total Capital Quarter over Quarter,0.0024
Quick Ratio (MRQ),0.31
Interest Coverage (MRQ),11.0
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2020-10-16 00:00:00
researchTeam since,2022-10-26 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-26 00:00:00
ford since,2022-09-02 00:00:00
marketEdge opinion since,
