,GPI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",4.19,19.03,Valuation,0.22017866526537047
Price/Sales (TTM),0.18,1.93,Valuation,0.09326424870466321
Price/Book (MRQ),1.31,92.12,Valuation,0.014220581849761181
"PEG Ratio (TTM, GAAP)",,7.27,Valuation,
Gross Profit Margin (TTM),0.1869,0.34390000000000004,Profitability,0.5434719395173015
Operating Profit Margin (TTM),0.0696,0.11789999999999999,Profitability,0.5903307888040713
Net Profit Margin (TTM),0.0492,0.0818,Profitability,0.6014669926650367
Annual Dividend Yield,0.008199999999999999,0.016200000000000003,Dividend,0.5061728395061726
Dividend Change %,1.2167000000000001,0.2582,Dividend,4.712238574748258
"Dividend Growth Rate, 3 Years",0.08539999999999999,0.09390000000000001,Dividend,0.9094781682641105
EPS Growth (MRQ),0.0396,-0.10800000000000001,Gowth rates,-0.36666666666666664
EPS Growth (TTM),0.4927,0.0262,Gowth rates,18.80534351145038
Revenue Growth (MRQ),0.0043,0.0478,Gowth rates,0.0899581589958159
Revenue Growth (TTM),0.18739999999999998,0.0874,Gowth rates,2.1441647597254003
Return On Equity (TTM),0.3572,5.2054,Effectiveness,0.06862104737388097
Return On Assets (TTM),0.1377,0.1562,Effectiveness,0.8815620998719589
Return On Investment (TTM),0.18230000000000002,0.26,Effectiveness,0.7011538461538462
Revenue Per Employee (TTM),1124309.0,410011.0,Effectiveness,2.74214350346698
Total Debt/Total Capital (MRQ),0.5484,0.8926999999999999,Financial strength,0.6143161196370561
Change in Debt/Total Capital Quarter over Quarter,0.0024,0.0016,Financial strength,1.4999999999999998
Quick Ratio (MRQ),0.31,0.39,Financial strength,0.7948717948717948
Interest Coverage (MRQ),11.0,13.36,Financial strength,0.8233532934131736
