,CCK
% Above Low,0.2556
% Held by Institutions,1.0324
52-Wk Range,['66.00 - 130.42']
Annual Dividend $,0.88
Annual Dividend %,0.0106
Ask,83.31
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,60.0
Bid Size,100.0
Closing Price,82.87
Day Change $,0.24
Day Change %,0.0029
Day High,83.33
Day Low,82.08
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",-2.67
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.409
Last (size),838.0
Last (time),5:00p ET 11/25/22
Market Cap,9.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,82.63
Short Interest,0.0286
Today's Open,82.59
Volume,295660.0
Volume 10-day Avg,942452.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.124
Growth 1yr High Est,-0.11842105263157887
Growth 1yr Consensus Est,-0.12121052631578944
Growth 2yr Low Est,-0.06732724505327248
Growth 2yr High Est,-0.0032403770620580974
Growth 2yr Consensus Est,-0.03528381105766529
Growth 5yr Low Est,0.08060846227901747
Growth 5yr High Est,0.11346805942420127
Growth 5yr Consensus Est,0.09703826085160937
Growth 5yr Actual/Est,0.0884777310907095
Growth 3yr Historic,0.11310790976886864
Price/Earnings (TTM),
Price/Sales (TTM),0.76549
Price/Book (MRQ),5.96635
Price/Cash Flow (TTM),44.57372
5yr Low,39.05
5yr High,130.42
5yr Avg Return,0.11151666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.0658282
Dividend Growth 5yr,
Short Int Current Month,3362946.0
Short Int Prev Month,2927535.0
Short Int Pct of Float,0.0285623
Days to Cover,1.75494
Float,117.7924
Shares Outstanding,119.9462
Institutions Holding Shares,647.0
FCF Growth 5yr,-1.0915930445794435
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1825
Operating Profit Margin (TTM),-0.0139
Net Profit Margin (TTM),-0.0193
Annual Dividend Yield,0.0106
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.5645
EPS Growth (TTM),-1.5734000000000001
Revenue Growth (MRQ),-0.07150000000000001
Revenue Growth (TTM),0.2023
Return On Equity (TTM),-0.1723
Return On Assets (TTM),-0.0165
Return On Investment (TTM),-0.0253
Revenue Per Employee (TTM),499423.0
Total Debt/Total Capital (MRQ),0.7633
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),0.69
Interest Coverage (MRQ),3.36
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-25 00:00:00
cfra since,2022-02-09 00:00:00
ford since,2022-11-25 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-02-14 00:00:00
