,GNRC
% Above Low,0.09730000000000001
% Held by Institutions,0.9014
52-Wk Range,['95.92 - 445.66']
Annual Dividend $,
Annual Dividend %,
Ask,105.88
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.2
Bid,99.0
Bid Size,400.0
Closing Price,105.25
Day Change $,-1.77
Day Change %,-0.0165
Day High,106.74
Day Low,104.68
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.64
Ex-dividend Date,No dividend
Historical Volatility,0.701
Last (size),69.0
Last (time),5:00p ET 11/25/22
Market Cap,6.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",15.85
Prev Close,107.02
Short Interest,0.0883
Today's Open,106.31
Volume,864433.0
Volume 10-day Avg,1694012.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.09361233480176212
Growth 1yr High Est,-0.12574257425742574
Growth 1yr Consensus Est,-0.10967745452959393
Growth 2yr Low Est,-0.2594428624191071
Growth 2yr High Est,0.0735953040377651
Growth 2yr Consensus Est,-0.09292377919067099
Growth 5yr Low Est,0.05908293965046818
Growth 5yr High Est,0.2540280959935125
Growth 5yr Consensus Est,0.15655551782199037
Growth 5yr Actual/Est,0.13336054147109141
Growth 3yr Historic,0.1917660408941237
Price/Earnings (TTM),15.85382
Price/Sales (TTM),1.45513
Price/Book (MRQ),2.87567
Price/Cash Flow (TTM),10.63478
5yr Low,42.96
5yr High,524.31
5yr Avg Return,0.35910000000000003
EPS Growth 5yr,0.4059885
Revenue Growth 5yr,0.20939509999999997
Dividend Growth 5yr,
Short Int Current Month,5441540.0
Short Int Prev Month,4834843.0
Short Int Pct of Float,0.0883245
Days to Cover,2.0362
Float,61.62722
Shares Outstanding,63.3564
Institutions Holding Shares,1070.0
FCF Growth 5yr,0.3281998159599138
"Price/Earnings (TTM, GAAP)",15.85
"PEG Ratio (TTM, GAAP)",3.76
Gross Profit Margin (TTM),0.33640000000000003
Operating Profit Margin (TTM),0.1377
Net Profit Margin (TTM),0.10490000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.6257
EPS Growth (TTM),-0.193
Revenue Growth (MRQ),-0.1573
Revenue Growth (TTM),0.3356
Return On Equity (TTM),0.2093
Return On Assets (TTM),0.10289999999999999
Return On Investment (TTM),0.13570000000000002
Revenue Per Employee (TTM),511734.0
Total Debt/Total Capital (MRQ),0.3603
Change in Debt/Total Capital Quarter over Quarter,0.0016
Quick Ratio (MRQ),0.8
Interest Coverage (MRQ),5.48
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-07-13 00:00:00
researchTeam since,2021-07-13 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-19 00:00:00
ford since,2022-09-16 00:00:00
marketEdge opinion since,
