,2020,2021,2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Report
high,29.48,38.28,37.29,,,,,
low,16.78,22.05,19.2,,,,,
change,0.37420000000000003,0.341,-0.1544,,,,,
Date,,,,2021-12-24 00:00:00,2022-03-25 00:00:00,2022-06-24 00:00:00,2022-09-23 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,259.0,282.0,287.0,294.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,76.0,87.0,92.0,87.0,Balance Sheet
Prov. for Doubtful Accts,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Trade Accts Recvble, Net",,,,106.0,119.0,123.0,121.0,Balance Sheet
Other Receivables,,,,1.0,2.0,2.0,4.0,Balance Sheet
"Total Receivables, Net",,,,107.0,121.0,125.0,125.0,Balance Sheet
Invent. - Finished Goods,,,,22.0,18.0,19.0,,Balance Sheet
Invent. - Work In Progress,,,,45.0,56.0,58.0,,Balance Sheet
Invent. - Raw Materials,,,,12.0,12.0,12.0,,Balance Sheet
Total Inventory,,,,79.0,86.0,89.0,98.0,Balance Sheet
Prepaid Expenses,,,,16.0,15.0,19.0,19.0,Balance Sheet
Restricted Cash - Current,,,,7.0,7.0,10.0,10.0,Balance Sheet
Discont. Ops.-Curr. Assets,,,,0.0,0.0,,,Balance Sheet
"Other Curr. Assets, Total",,,,7.0,7.0,10.0,10.0,Balance Sheet
Total Current Assets,,,,469.0,512.0,529.0,545.0,Balance Sheet
Buildings,,,,57.0,60.0,59.0,,Balance Sheet
Land/Improvements,,,,16.0,16.0,15.0,,Balance Sheet
Machinery/Equipment,,,,535.0,549.0,565.0,,Balance Sheet
Construction in Progress,,,,28.0,22.0,22.0,,Balance Sheet
Other Prop./Plant/Equip.,,,,16.0,16.0,15.0,,Balance Sheet
Prop./Plant/Equip. - Gross,,,,652.0,663.0,676.0,,Balance Sheet
Accumulated Depreciation,,,,-429.0,-437.0,-446.0,,Balance Sheet
Prop./Plant/Equip. - Net,,,,224.0,226.0,230.0,233.0,Balance Sheet
"Goodwill, Net",,,,20.0,20.0,20.0,28.0,Balance Sheet
Intangibles - Gross,,,,60.0,61.0,62.0,,Balance Sheet
Accum. Intangible Amort.,,,,-24.0,-25.0,-26.0,,Balance Sheet
Intangibles - Net,,,,36.0,36.0,36.0,52.0,Balance Sheet
LT Invt. - Affiliate Comp.,,,,27.0,28.0,27.0,26.0,Balance Sheet
LT Investments - Other,,,,13.0,12.0,,,Balance Sheet
Long Term Investments,,,,41.0,40.0,27.0,26.0,Balance Sheet
Note Rcvble - Long Term,,,,18.0,28.0,5.0,10.0,Balance Sheet
Deferred Charges,,,,2.0,1.0,,,Balance Sheet
Def. Inc. Tax - LT Asset,,,,21.0,18.0,26.0,34.0,Balance Sheet
Other Long Term Assets,,,,22.0,12.0,54.0,51.0,Balance Sheet
Total Assets,,,,851.0,893.0,926.0,980.0,Balance Sheet
Accounts Payable,,,,38.0,35.0,39.0,45.0,Balance Sheet
Accrued Expenses,,,,56.0,60.0,56.0,67.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,,Balance Sheet
Income Taxes Payable,,,,2.0,2.0,11.0,,Balance Sheet
Other Current Liabilities,,,,5.0,7.0,6.0,,Balance Sheet
"Other Curr. Lblts, Total",,,,7.0,9.0,17.0,,Balance Sheet
Total Current Liabilities,,,,101.0,104.0,112.0,113.0,Balance Sheet
Total Long Term Debt,,,,25.0,25.0,25.0,25.0,Balance Sheet
Total Debt,,,,25.0,25.0,25.0,25.0,Balance Sheet
Deferred Income Tax,,,,,,,4.0,Balance Sheet
