,ALGM
% Below High,0.19149999999999998
% Held by Institutions,0.478
52-Wk Range,['19.20 - 38.28']
Annual Dividend $,
Annual Dividend %,
Ask,30.94
Ask Size,200.0
B/A Ratio,15.0
B/A Size,3000x200
Beta,
Bid,30.82
Bid Size,3000.0
Closing Price,30.95
Day Change $,-0.61
Day Change %,-0.019299999999999998
Day High,31.97
Day Low,30.89
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.62
Ex-dividend Date,No dividend
Historical Volatility,0.457
Last (size),3.0
Last (time),1:00p ET 11/25/22
Market Cap,5.9B
"P/E Ratio (TTM, GAAP)",49.86
Prev Close,31.56
Short Interest,0.061900000000000004
Today's Open,31.82
Volume,600445.0
Volume 10-day Avg,1070941.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.5064935064935063
Growth 1yr High Est,0.46913580246913567
Growth 1yr Consensus Est,0.487814654481321
Growth 2yr Low Est,0.24462606359158073
Growth 2yr High Est,0.29339143064633255
Growth 2yr Consensus Est,0.2690087471189566
Growth 5yr Low Est,0.4557669692236555
Growth 5yr High Est,0.4022609537642217
Growth 5yr Consensus Est,0.4290139614939386
Growth 5yr Actual/Est,0.4239044558737653
Growth 3yr Historic,0.2318840579710145
Price/Earnings (TTM),49.85904
Price/Sales (TTM),7.0292
Price/Book (MRQ),7.26692
Price/Cash Flow (TTM),35.30765
5yr Low,16.78
5yr High,38.28
5yr Avg Return,0.1869333333333334
Short Int Current Month,4014329.0
Short Int Prev Month,2962715.0
Short Int Pct of Float,0.0618565
Days to Cover,4.74266
Float,87.51034
Shares Outstanding,191.3081
Institutions Holding Shares,244.0
FCF Growth 5yr,0.40497307573719993
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",49.86
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5475
Operating Profit Margin (TTM),0.16670000000000001
Net Profit Margin (TTM),0.1419
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),3.9332
EPS Growth (TTM),0.8449
Revenue Growth (MRQ),0.09140000000000001
Revenue Growth (TTM),0.1678
Return On Equity (TTM),0.1624
Return On Assets (TTM),0.1341
Return On Investment (TTM),0.1514
Revenue Per Employee (TTM),208707.0
Total Debt/Total Capital (MRQ),0.029700000000000004
Change in Debt/Total Capital Quarter over Quarter,-0.0018
Quick Ratio (MRQ),3.96
Interest Coverage (MRQ),73.09
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-17 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
theStreet since,2022-11-17 00:00:00
newConstructs since,
marketEdge opinion since,
