,VRNA
% Below High,0.1532
% Held by Institutions,0.6975
52-Wk Range,['3.41 - 14.69']
Annual Dividend $,
Annual Dividend %,
Ask,12.9
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.5
Bid,11.96
Bid Size,100.0
Closing Price,12.44
Day Change $,-0.17
Day Change %,-0.013500000000000002
Day High,12.87
Day Low,11.81
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.32
Ex-dividend Date,No dividend
Historical Volatility,0.795
Last (size),100.0
Last (time),3:59p ET 11/28/22
Market Cap,940.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,12.61
Short Interest,0.0152
Today's Open,12.6
Volume,331313.0
Volume 10-day Avg,163718.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.036363636363636154
Growth 2yr High Est,-0.2692307692307693
Growth 2yr Consensus Est,-0.11643356643356656
Growth 5yr Low Est,0.036363636363636154
Growth 5yr High Est,-0.2692307692307693
Growth 5yr Consensus Est,-0.11643356643356656
Growth 5yr Actual/Est,-0.22011243386243384
Growth 3yr Historic,-0.22126984126984128
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),3.99706
Price/Cash Flow (TTM),
5yr Low,2.01
5yr High,25.55
5yr Avg Return,0.10235
Short Int Current Month,786671.0
Short Int Prev Month,855147.0
Short Int Pct of Float,0.0152351
Days to Cover,3.25008
Float,
Shares Outstanding,9.45282
Institutions Holding Shares,71.0
FCF Growth 5yr,0.18503588005890403
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
EPS Growth (MRQ),0.21530000000000002
EPS Growth (TTM),-2.1263
Revenue Growth (MRQ),
Revenue Growth (TTM),-1.0
Return On Equity (TTM),-0.4018
Return On Assets (TTM),-0.3422
Return On Investment (TTM),-0.3914
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.020800000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.0023
Quick Ratio (MRQ),
Interest Coverage (MRQ),-5.86
newConstructs,rating-box
cfra,
ford,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
newConstructs since,
cfra since,
ford since,
theStreet since,
researchTeam since,
marketEdge opinion since,
