,VRNA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,,Valuation,
Price/Sales (TTM),,,Valuation,
Price/Book (MRQ),4.0,,Valuation,
"PEG Ratio (TTM, GAAP)",,,Valuation,
EPS Growth (MRQ),0.21530000000000002,,Gowth rates,
EPS Growth (TTM),-2.1263,,Gowth rates,
Revenue Growth (MRQ),,,Gowth rates,
Revenue Growth (TTM),-1.0,,Gowth rates,
Return On Equity (TTM),-0.4018,,Effectiveness,
Return On Assets (TTM),-0.3422,,Effectiveness,
Return On Investment (TTM),-0.3914,,Effectiveness,
Revenue Per Employee (TTM),0.0,,Effectiveness,
Total Debt/Total Capital (MRQ),0.020800000000000003,,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,-0.0023,,Financial strength,
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),-5.86,,Financial strength,
