,SQ
% Above Low,0.19710000000000003
% Held by Institutions,0.6431999999999999
52-Wk Range,['51.34 - 220.60']
Annual Dividend $,
Annual Dividend %,
Ask,61.47
Ask Size,600.0
B/A Ratio,1.1666666666666667
B/A Size,700x600
Beta,2.4
Bid,61.45
Bid Size,700.0
Day Change $,-1.92
Day Change %,-0.030299999999999997
Day High,63.83
Day Low,61.46
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.93
Ex-dividend Date,No dividend
Historical Volatility,0.877
Last (size),100.0
Last (time),3:10p ET 11/28/22
Market Cap,36.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,63.38
Price,61.46
Short Interest,0.050300000000000004
Today's Open,63.99
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,36.0
Growth 1yr Low Est,-0.1568627450980392
Growth 1yr High Est,-0.40265486725663713
Growth 1yr Consensus Est,-0.27975880617733817
Growth 2yr Low Est,-0.22959416324669402
Growth 2yr High Est,0.23570960340871833
Growth 2yr Consensus Est,0.003057720081012155
Growth 5yr Low Est,-0.015482013130196315
Growth 5yr High Est,0.5485776932706241
Growth 5yr Consensus Est,0.26654784007021387
Growth 5yr Actual/Est,0.3202672561907913
Growth 3yr Historic,0.27142857142857135
Price/Earnings (TTM),
Price/Sales (TTM),2.23511
Price/Book (MRQ),2.29175
Price/Cash Flow (TTM),
5yr Low,32.33
5yr High,289.23
5yr Avg Return,0.35589999999999994
EPS Growth 5yr,
Revenue Growth 5yr,0.5954009
Dividend Growth 5yr,
Short Int Current Month,26728744.0
Short Int Prev Month,25875318.0
Short Int Pct of Float,0.050338900000000006
Days to Cover,1.24562
Float,531.0117
Shares Outstanding,598.0711
Institutions Holding Shares,1357.0
FCF Growth 5yr,-0.7316124322069252
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3251
Operating Profit Margin (TTM),-0.032100000000000004
Net Profit Margin (TTM),-0.0304
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.9306000000000001
EPS Growth (TTM),-1.9735
Revenue Growth (MRQ),0.0252
Revenue Growth (TTM),0.013000000000000001
Return On Equity (TTM),-0.0518
Return On Assets (TTM),-0.024
Return On Investment (TTM),-0.034300000000000004
Revenue Per Employee (TTM),1990285.0
Total Debt/Total Capital (MRQ),0.2177
Change in Debt/Total Capital Quarter over Quarter,-0.006
Quick Ratio (MRQ),1.85
Interest Coverage (MRQ),18.28
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-02-25 00:00:00
theStreet since,2022-05-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2018-12-06 00:00:00
ford since,2022-08-26 00:00:00
marketEdge opinion since,
