,ONTF
% Above Low,0.0676
% Held by Institutions,0.7027
52-Wk Range,['6.95 - 17.99']
Annual Dividend $,
Annual Dividend %,
Ask,7.46
Ask Size,400.0
B/A Ratio,1.0
B/A Size,400x400
Beta,
Bid,7.12
Bid Size,400.0
Closing Price,7.42
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.17
Ex-dividend Date,No dividend
Historical Volatility,0.509
Last (size),20.0
Last (time),5:00p ET 11/25/22
Market Cap,356.5M
"P/E Ratio (TTM, GAAP)",
Prev Close,7.42
Short Interest,0.0199
Today's Open,
Volume,456524.0
Volume 10-day Avg,488493.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.5476190476190477
Growth 2yr High Est,-0.7
Growth 2yr Consensus Est,-0.6238095238095238
Growth 5yr Low Est,-0.5476190476190477
Growth 5yr High Est,-0.7
Growth 5yr Consensus Est,-0.6238095238095238
Growth 5yr Actual/Est,-5.426755020974867
Growth 3yr Historic,-0.3264840182648402
Price/Earnings (TTM),
Price/Sales (TTM),1.8158
Price/Book (MRQ),1.12685
Price/Cash Flow (TTM),
5yr Low,6.95
5yr High,81.98
5yr Avg Return,-0.67525
Short Int Current Month,871006.0
Short Int Prev Month,942735.0
Short Int Pct of Float,0.0199386
Days to Cover,2.84835
Float,43.79365
Shares Outstanding,48.0475
Institutions Holding Shares,140.0
FCF Growth 5yr,-1.6541218680847232
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7337
Operating Profit Margin (TTM),-0.28300000000000003
Net Profit Margin (TTM),-0.2831
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.121
EPS Growth (TTM),-2.7963
Revenue Growth (MRQ),-0.013700000000000002
Revenue Growth (TTM),-0.041600000000000005
Return On Equity (TTM),-0.1636
Return On Assets (TTM),-0.1211
Return On Investment (TTM),-0.1604
Revenue Per Employee (TTM),273834.0
Total Debt/Total Capital (MRQ),0.006500000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.005
Quick Ratio (MRQ),
Interest Coverage (MRQ),-351.62
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-05-12 00:00:00
theStreet since,2022-05-12 00:00:00
ford since,2022-03-04 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
