,ONTF,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),1.82,9.39,Valuation,0.19382321618743342
Price/Book (MRQ),1.13,12.63,Valuation,0.08946951702296119
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.7337,0.7206,Profitability,1.018179295031918
Operating Profit Margin (TTM),-0.28300000000000003,0.2172,Profitability,-1.3029465930018418
Net Profit Margin (TTM),-0.2831,0.1553,Profitability,-1.8229233741146171
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.121,-0.0752,Gowth rates,-1.6090425531914891
EPS Growth (TTM),-2.7963,-0.2824,Gowth rates,9.901912181303116
Revenue Growth (MRQ),-0.013700000000000002,0.15560000000000002,Gowth rates,-0.08804627249357327
Revenue Growth (TTM),-0.041600000000000005,0.1906,Gowth rates,-0.2182581322140609
Return On Equity (TTM),-0.1636,0.2189,Effectiveness,-0.7473732297852901
Return On Assets (TTM),-0.1211,0.10740000000000001,Effectiveness,-1.12756052141527
Return On Investment (TTM),-0.1604,0.1387,Effectiveness,-1.156452775775054
Revenue Per Employee (TTM),273834.0,667721.0,Effectiveness,0.41010242301799704
Total Debt/Total Capital (MRQ),0.006500000000000001,0.39659999999999995,Financial strength,0.016389309127584472
Change in Debt/Total Capital Quarter over Quarter,-0.005,0.0004,Financial strength,-12.5
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-351.62,0.28,Financial strength,-1255.7857142857142
